"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 4001"
"MaxRank: 5000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
4011,"Completed","PER 5/30/95 AMENDMENT: To compare the combined rate of failure during therapy and relapse after therapy between two durations of intermittent therapy (6 versus 9 months) for the treatment of pulmonary tuberculosis (TB) in HIV-infected patients. To compare toxicity, survival, and development of resistance in these two regimens.||ORIGINAL: To compare the efficacy and safety of induction and continuation therapies for the treatment of pulmonary TB in HIV-infected patients who are either from areas with known high rates of resistance to one or more anti-TB drugs or from areas where TB is expected to be susceptible to commonly used anti-TB drugs.||PER 5/30/95 AMENDMENT: In HIV-negative patients, intermittent anti-TB therapy has been shown to be as effective as daily therapy, but the optimal duration of therapy in HIV-infected patients has not been established.||ORIGINAL: In some areas of the country, resistance to one or more of the drugs commonly used to treat TB has emerged. Thus, the need to test regimens containing a new drug exists. Furthermore, the optimal duration of anti-TB therapy for HIV-infected patients with TB needs to be determined.","HIV Infections|Tuberculosis","No","Interventional",,"July 1997","Ethambutol hydrochloride|Isoniazid|Pyrazinamide|Pyridoxine hydrochloride|Levofloxacin|Rifampin","Drug|Drug|Drug|Drug|Drug|Drug","Phase 3","All",,"13 Years","Treatment",,"United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States",,"650",,
4012,"Enrolling by invitation","The goal of this study is to test a new way to diagnose and track treatment of spine infections caused by the bacteria Staphylococcus aureus.","Staphylococcus Aureus Infection|Surgical Site Infection|Orthopedic Procedures|Spine","No","Observational","August 24, 2021","May 2026","Medium enriched for newly synthesized antibodies in spine infection","Diagnostic Test",,"All","85 Years","18 Years",,,"United States",,"200",,
4013,"Recruiting","This study will examine the effectiveness of a new laboratory method for detecting pneumocystis organisms in a salt-water (saline) oral wash. Pneumocystis infection in people with weakened immunity especially patients with HIV infection or cancer, organ transplant recipients and people receiving immune suppressing therapy can cause life-threatening pneumonia. Currently, pneumocystis infection is diagnosed by sputum analysis or bronchoalveolar lavage. For the sputum analysis, patients are induced to produce a sputum sample (liquid discharge from the lung) using a saline mist; however, many hospitals lack the expertise to perform this procedure. The second method, bronchoalveolar lavage, involves inserting a flexible tube into the lung and injecting saline to produce a specimen for diagnosis. This method, however, is time-consuming and can be uncomfortable. New techniques may allow the use of an oral wash to diagnose pneumocystis, even though an oral sample contains far fewer organisms than are obtained with the current methods. This study will examine whether new techniques, such as nucleic acid amplification, may enable a simple oral wash to be used effectively for diagnosis of pneumocystis infection.||Patients 3 years of age and older with weakened immunity who have acute pneumonia may be eligible for this study. In addition, people at increased risk of infection with pneumocystis, including health care professionals, family members of patients, and other patients in health care facilities, may participate.||Participants will have a medical history and review of medical records to determine their health status and determine if they have had recent respiratory problems or documented PCP. They will then provide an oral wash sample. For this procedure, subjects first rinse their mouth well. Then, they vigorously swish 50 milliliters of saline for 5 to 10 seconds and immediately repeat the procedure to provide two specimens. Washes may be requested daily, weekly, monthly, or for a period of time to be specified. Participants will also have two tubes of blood drawn (total of 20 milliliters, or 4 teaspoons) to test for evidence of pneumocystis.||Although no other tests are required for this protocol, participants may be asked to provide optional add'l samples, as follows:||If a sputum or bronchoalveolar lavage sample is required in the course of the patient s clinical mgmt, enough material will be obtained, if possible, for research purposes as well as what is needed for routine care.||An induced sputum sample may be requested just for this protocol. For this procedure, a mask with a saline mist is placed over the face, inducing a cough that, it is hoped, will produce sputum from the lungs.","Pneumocystis Infection|Infection|Pneumonia, Pneumocystis|Lung Disease, Fungal|Mycoses","Accepts Healthy Volunteers","Observational","September 28, 1999",,,,,"All","99 Years","3 Years",,,"United States",,"1500",,
4014,"Completed","Sexually transmitted Chlamydia trachomatis infections are a widespread public health concern due to their prevalence and potentially devastating reproductive consequences, including pelvic inflammatory disease, infertility, and ectopic pregnancy. The goal of this study is to evaluate the risk factors for adverse outcomes following genital tract infection with Chlamydia trachomatis and to evaluate whether or not the presence of C. trachomatis in the rectum act as a reservoir for infection.","CHLAMYDIA INFECTIONS","Accepts Healthy Volunteers","Observational","January 2008","January 2016","No intervention, only observational","Other",,"Female","21 Years","11 Years",,,"United States",,"29",,
4015,"Not yet recruiting","Nine sexual health clinical services across Australia and their associated pathology testing laboratories are implementing a new management program for gonorrhoea infection. The services are implementing the use of gonorrhoea drug resistance testing as part of routine clinical and laboratory practice, where drug resistance test results are provided to clinicians quickly to guide choice of antibiotic therapy. Clinicians will identify gonorrhoea infection that is ciprofloxacin susceptible so that it can be treated with ciprofloxacin therapy, rather than ceftriaxone.","Drug Resistance, Microbial|Antimicrobial Stewardship|Gonorrhea","No","Interventional","March 2, 2020","August 31, 2021","Resistance guided treatment for gonorrhoea infection","Other","Not Applicable","All",,,"Treatment","Sequential Assignment",,"Randomized","3024",,
4016,"Completed","Background:||Lyme disease is an infection caused by Borrelia burgdorferi, a bacteria that is transmitted to humans by ticks. It can cause many different symptoms including rash, fever, headache, meningitis (infection of the central nervous system), and arthritis. While most patients improve after taking antibiotics, some patients continue to have symptoms. It is currently unknown why some patients continue to have symptoms. One possibility is that the antibiotics have not successfully gotten rid of all of the bacteria. Current tests for Lyme disease cannot tell whether the bacteria have been successfully eliminated from the body.||Xenodiagnosis is a way to look for Borrelia bacteria using the animal that usually hosts them, Ixodes scapularis (also known as the deer tick). This method takes advantage of the evolution of the bacteria and the insect that transmits the infection, which can make the insect particularly good at finding the agent. In studies of animals, xenodiagnosis may be more sensitive than current tests for detecting the presence of the Lyme disease bacteria. Researchers are interested in using xenodiagnosis to determine whether uninfected ticks that feed on humans who have been infected with Lyme disease bacteria can detect the continued presence of live bacteria.||Objectives:||- To determine whether xenodiagnosis can be used to successfully investigate the presence of Lyme disease bacteria.||Eligibility:||Individuals at least 18 years of age who are in one of the following categories:|Have had the erythema migrans rash (a symptom of Lyme infection) and received antibiotic therapy less than 4 months ago (but have not had antibiotics in the previous month).|Have the erythema migrans rash and received less than 2 days of antibiotic therapy.|Have been diagnosed with early or late Lyme disease, have received antibiotic therapy, but still have high levels of antibodies against the bacteria at least 6 months after therapy, and have not received antibiotics in the past 3 months.|Have been diagnosed with early or late Lyme disease, have received antibiotic therapy, and have new complaints of fatigue or other symptoms that are persistent for at least 6 months after completion of antibiotic therapy, and have not received antibiotics in the past 3 months.|Have been diagnosed with Lyme arthritis and have not yet received antibiotic therapy.|Healthy volunteers who have not had Lyme disease will also be included in this study.||Design:||Participants will have an initial visit for a physical examination, medical history, and blood sample.|For the first study visit, researchers will place a strip of filter paper or a small plastic container with 20 to 30 disease-free ticks on the participant s skin. If possible, the ticks will be placed at the site of a Lyme disease rash or another suspicious area, or on the nondominant forearm. Participants will be asked to keep the ticks in place, and will keep a diary card at home to record any symptoms or problems.|The ticks will be collected 4 to 6 days after placement. At that visit, participants will have a skin biopsy taken of the area tested, a blood sample will be collected, and participants will receive a new diary card to keep until the next clinic visit.|After 1 month, participants will provide a final blood sample, and will receive a follow-up phone call 2 months afterward.","Lyme Disease","No","Interventional","November 4, 2010","December 30, 2014","Lyme Disease Xenodiagnosis","Device","Early Phase 1","All",,"18 Years","Diagnostic","Parallel Assignment","United States|United States|United States","Non-Randomized","45",,
4017,"Completed","Lyme disease is the most common tick-borne disease in the United States. It is caused by the spirochete Borrelia burgdorferi. It may exist in a chronic form and be the result of: 1) active infection by B. burgdorferi; 2) damage caused by the original infectious process; or 3) the presence of co-infection with another organism transmitted by Ixodes ticks. The purpose of this study is to determine the safety and effectiveness, for seropositive patients, of intensive antibiotic treatment in eliminating symptoms of Chronic Lyme Disease (CLD).","Lyme Disease","No","Interventional",,"March 2001","ceftriaxone|doxycycline","Drug|Drug","Phase 3","All",,"18 Years","Treatment","Parallel Assignment","United States","Randomized","194",,
4018,"Completed","Lyme disease is the most common tick-borne disease in the United States. It is caused by the spirochete Borrelia burgdorferi. It may exist in a chronic form and be the result of: 1) persistent infection by B. burgdorferi; 2) damage caused by the original infectious process; or 3) the presence of coinfection with another organism transmitted by Ixodes ticks. The purpose of this study is to determine the safety and effectiveness, in seronegative patients, of intensive antibiotic treatment in eliminating symptoms of Chronic Lyme Disease (CLD).","Lyme Disease","No","Interventional",,"November 2005","ceftriaxone|doxycycline","Drug|Drug","Phase 3","All",,"18 Years","Treatment","Parallel Assignment","United States","Randomized","66",,
4019,"Completed","This is an exploratory study in which the investigators will develop a way to identify the cell responses most strongly associated with protection against chlamydia infection. This study is not driven by a hypothesis.","Chlamydia","Accepts Healthy Volunteers","Observational","December 2009","June 2010",,,,"Female","35 Years","15 Years",,,"United States",,"55",,
4020,"Not yet recruiting","This trial is to describe the safety, tolerability and exposure-toxicity relationship of Depazolid given over 16 weeks, in combination with standard-dose Bedaquiline, Delamanid and Moxifloxacin, compared to standard-dose Bedaquiline, Delamanid and Moxifloxacin alone","Infections and Infestations|Pulmonary Tuberculosis","No","Interventional","June 30, 2021","January 30, 2023","Delpazolid|Bedaquiline, Delamanid, Moxifloxacin","Drug|Drug","Phase 2","All","65 Years","18 Years","Treatment","Parallel Assignment","South Africa|South Africa|South Africa|South Africa|Tanzania|Tanzania|Tanzania","Randomized","75",,
4021,"Withdrawn","The purpose of this study is to assess the safety and efficacy of ceftobiprole versus a comparator in hospitalized patients with bacteremia.","Bacteremia","No","Interventional",,"April 2009","ceftobiprole medocaril","Drug","Phase 2","All",,"18 Years","Treatment","Parallel Assignment",,"Randomized","0",,
4022,"Recruiting","This is a Phase 3, double-blinded, randomised placebo-controlled, multi-centred trial evaluating the efficacy of the four-component meningococcal B vaccine, 4CMenB (Bexsero®), in the prevention of Neisseria gonorrhoeae infection.The targeted population is 18-40 years-old men (cis and trans), trans women and non-binary people who have sex with men (hereafter referred to as Gay Bisexual Men+ [GBM+], either HIV-negative and taking pre-exposure prophylaxis [PrEP], or HIV-positive with undetectable viral load <200copies/ml and a cluster of differentiation 4 [CD4] count >350 cells/cmm) who have high N. gonorrhoeae incidence and are recommended by Australian guidelines to have regular, comprehensive sexual health screening. 730 participants will be enrolled and randomised 1:1 and stratified by clinical sites to receive two doses of 4CMenB vaccine or a matching placebo at 0 and 3 months by intramuscular injection. Recruitment is for 12 months and all participants will be follow-up 3-monthly for a period of 2 years. The trial aims to evaluate the efficacy of 4CMenB in the prevention of N. gonorrhoeae infection.","Neisseria Gonorrheae Infection","No","Interventional","July 8, 2021","February 2024","4CMenB vaccine|Placebo","Biological|Other","Phase 3","All","40 Years","18 Years","Prevention","Parallel Assignment","Australia|Australia|Australia|Australia","Randomized","730",,
4023,"Completed","The purpose of this study is to evaluate the potential effect and safety of two different doses of PZ-601 and to compare this with another antibiotic that is approved by the US Food and Drug Administration (also known as FDA) to treat adults with skin and skin structure infections.","Skin Infections","No","Interventional","May 2008","February 2009","PZ-601|PZ-601|Standard of Care","Drug|Drug|Drug","Phase 2","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States","Randomized","99",,
4024,"Not yet recruiting","Otomycosis is a fungal infection that affects one, or occasionally both, of the ears. It mostly affects people who live in warm or tropical areas. It also often affects people who swim frequently, live with diabetes, or have other chronic medical and skin conditions. It is a pathologic entity, with candida and aspergillus the most common fungal species. ]Various predisposing factors include a humid climate, presence of cerumen, instrumentation of the ear, increased use of topical antibiotics / steroid preparations, immune-compromised host, patients who have undergone open cavity mastoidectomy and those who wear hearing aids with occlusive ear mold. The infection is usually unilateral and characterized by inflammatory pruritis, scaling and otalgia.Treatment recommendations have included local debridement, local and systemic antifungal agents and discontinuation of topical antibiotics. Sometimes otomycosis presents as a challenging disease for its long term treatment and follow up, yet its recurrence rate remains high.||According to Thai National List of essential medicines for topical antifugal agents are:||acetic acid (2% in aqueous and 2% in 70% isopropyl alcohol)|boric acid (4% in distilled water)|gentian violet|clotrimazole ear drop. Some fungal infections such as Aspergillus may be resistant to the usual ear drops. They may require oral medications.","Otomycosis","No","Interventional","June 1, 2021","June 1, 2023","Clotrimazol solution 1%|4%boric acid in distilled water","Drug|Drug","Not Applicable","All",,,"Treatment","Parallel Assignment",,"Randomized","100",,
4025,"Not yet recruiting","The HIV epidemic in Peru remains concentrated in the subpopulation of men who have sex with men (MSM), where the prevalence of disease has been estimated between 10-22% in recent epidemiologic surveys. Partner-based methods to limit the spread of HIV and STI co-infection, including partner notification and partner treatment, provide an important new strategy for HIV control in the region.||Expedited Partner Therapy (EPT) has been shown to reduce rates of persistent or recurrent gonorrhea and chlamydia infection in heterosexual patients, but has not been fully evaluated for use among men who have sex with men (MSM). CDC guidelines support the use of EPT for partner management with heterosexual patients, but note the absence of evidence necessary to make an equivalent recommendation for the use of EPT with MSM. Randomized clinical trials to assess the impact of EPT on partner notification, treatment, and STI re-infection among MSM are critical to the development of evidence-based partner management guidelines.||As a theoretical model, EPT integrates behavioral, social, and biomedical approaches to HIV/STI control in a comprehensive prevention intervention. Our proposed exploration of the social and behavioral dimensions of partner notification and treatment will provide a methodological structure for understanding the influence of EPT on behavioral decision-making processes, interpersonal factors that influence partner notification, and network patterns of STI transmission within MSM populations in Peru.||The proposed study includes a screening protocol to identify eligible MSM subjects for participation in our planned study of the effect of EPT on partner notification, treatment, and linkage to HIV prevention and care services. Potential participants will complete a behavioral survey and undergo physical examination and testing for HIV, syphilis, gonorrhea, and chlamydia. Participants diagnosed with Gonorrhea and/or Chlamydia (at any anatomic site) will be eligible for enrollment in our Partner Management study of EPT and the HIV prevention cascade among MSM in Peru.||Participants in the Partner Management study will be randomly assigned to receive either standard of care partner notification counseling or standard counseling along with a maximum of five antibiotic treatment packets to deliver to their recent sexual partners. Participants will be asked to return to the site after 21 days to report on their actual partner notification behavior, with differences in notification evaluated between the two groups. Participants will then work with a study counselor to identify their recent partners and, if the participant agrees, to provide contact information so that the study team can contact these partners. Study staff will either confirm that the partner has already been notified, or provide notification of their likely STI exposure. After informing partners of their STI exposure, staff will ask partners to provide verbal consent to a single question evaluation (whether or not the partner had previously been informed of their exposure) to verify participant-reported behavior. Partners will also be asked to visit the study site to complete a brief survey of their sexual practices and treatment-seeking behavior, as well as to undergo testing for HIV and STIs. All of the above data will be used to construct models of the spread of HIV and STIs in local MSM networks, and the potential effect of EPT on controlling the spread of STIs in this population.","HIV-1-infection|Gonorrhea Male|Chlamydia|Partner Communication","No","Interventional","November 1, 2021","December 31, 2024","EPT","Behavioral","Not Applicable","Male",,"18 Years","Prevention","Parallel Assignment","Peru","Randomized","552",,
4026,"Unknown status","Recent data have demonstrated beneficial health outcomes of microbiota transplantation for the treatment of Clostridium Difficile infection.||The investigators propose testing whether fecal transplantation from a healthy donor can lead to a recovery from Clostridium Difficile recurrent/treatment-resistant infection.","Clostridium Difficile Infection","No","Interventional","November 2013","December 2016","Fecal Microbiota transplantation.","Procedure","Phase 3","All",,"18 Years","Treatment","Single Group Assignment","Israel","N/A","10",,
4027,"Suspended","The primary objective of this study is to evaluate the efficacy of BIO-K+ CL1285 for prevention of recurrent Clostridium difficile infection.","Recurrent Clostridium Difficile Infection","No","Interventional","June 2010","January 2016","Lactobacillus acidophilus CL1285® and Lactobacillus casei|Placebo","Dietary Supplement|Dietary Supplement","Phase 3","All",,"18 Years","Prevention","Parallel Assignment","United States","Randomized","140",,
4028,"Not yet recruiting","CelAgace™ OraRinse (silver citrate complex and acemannan) Solution is planned to be evaluated for safety and effectiveness as a potential treatment for candidiasis, a yeast infection, commonly known as thrush, which is associated with mouth sores.","Candidiasis, Oral","No","Interventional","March 2022","November 2022","silver citrate complex and acemannan","Drug","Phase 1|Phase 2","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","15",,
4029,"Completed","The purpose of the study is to evaluate the efficacy and safety of active treatment (miconazole oil) for 7 versus 14 days, and to compare 14 days of active treatment (miconazole oil) to inactive treatment (placebo) over a 14-day treatment duration, in subjects with fungal infection (otomycosis) of the external ear.","Otomycosis","No","Interventional","April 20, 2017","August 6, 2019","7-Day Miconazole Oil (Miconazole 2%)|14-Day Miconazole Oil (Miconazole 2%)|14-Day Placebo - Oil Vehicle","Drug|Drug|Drug","Phase 2","All",,"25 Months","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States","Randomized","65","0|0|0","0|0|0"
4030,"Unknown status","Title: Randomized clinical trial to assess the efficacy of short course intermittent regimens for the treatment of HIV-associated tuberculosis||Phase: Phase III trial||Population: 300 HIV positive patients with tuberculosis.||Number of Sites:Four||Tuberculosis Research Centre, Chennai|Government General Hospital, Chennai|Government Hospital of Thoracic Medicine, Tambaram|Government Rajaji Hospital, Madurai||Study Duration:36 months||Study Objective:To study the efficacy of the standard RNTCP Category I regimen (2EHRZ3 / 4RH3) the control arm vs. an extended continuation phase regimen 2EHRZ3 / 7 RH3 in the treatment of pulmonary and extrapulmonary TB in the HIV positive patients.||2. To study the relationship between stage of HIV disease and response to anti-TB treatment.||3. To study recurrences and their nature (relapse/re-infection) in detail by using RFLP analysis.||Study Design:It is a two armed prospective randomized open label controlled clinical trial with stratified random allocation based on CD4 count and sputum smear grade.||All enrolled patients will be treated according to the RNTCP guidelines during the intensive phase. In the continuation phase, Cat I patients will be stratified by CD4 counts and by smear grade, and randomly allocated either to the standard RNTCP regimen, or to an alternative extended regimen (2EHRZ3/4RH3 or 2EHRZ3/7RH3).","Tuberculosis|Human Immunodeficiency Virus Infections","No","Interventional","February 2001","September 2008","Anti-TB drugs (Ethambutol, Isoniazid, Rifampicin and Pyrazinamide)|Anti-TB drugs (Ethambutol, Isoniazid, Rifampicin and Pyrazinamide)","Drug|Drug","Phase 3","All","60 Years","15 Years","Treatment","Parallel Assignment","India","Randomized","300",,
4031,"Completed","The purpose of this research is to investigate the efficacy of transplanting screened donor fecal material in treating patients with recurrent Clostridium difficile infection. Participants with refractory Clostridium difficile infection will be given healthy donor stool administered by colonoscopy or enema and their response will be evaluated by symptom questionnaire and stool testing for Clostridium difficile at 4 weeks after the treatment.","Clostridium Difficile Infection","No","Observational","April 2014","October 26, 2018","Fecal Microbial Transplantation","Biological",,"All","100 Years","18 Years",,,"United States",,"37",,
