Condition,BriefSummary
cirrhosis,"Intervention: All patients at presentation would be assessed for the underlying cause of and will be managed by removal of all precipitants(careful review of medications, diuretics, nephrotoxic drugs,vasodilators or non-steroidal anti-inflammatory drugs). The second step would be to consider plasma volume expansion in patients with hypovolemia (the choice of fluid could either be a crystalloid or albumin or even blood as indicated) along with identification and early treatment of bacterial infections. Along with this patients with a differential diagnosis of HRS-AKI would be given terlipressin ( or noradrenaline/octreotide midodrine in case of contraindication to terlipressin). Patients with a clinical diagnosis of ATN would be randomized to the on-demand versus protocol-guided dialysis groups. Further, patients with urine output of less than 0.5ml/kg/hour for 4-6 hours despite adequate fluid resuscitation and vasoconstrictors would also be subjected to randomization.||In the on-demand group patients would get dialysis only when patient fulfills absolute criteria requiring dialysis such as metabolic acidosis with ph<7.2, hyperkalemia, refractory fluid overload (non-responsive to diuretics) or oliguria with urine output of less than 0.5ml/kg for more than 24-48 hours from the time of randomization|In the protocol guided group patients all patients would be considered for dialysis within 6 hours of randomization After randomization patients would receive dialysis as three sessions per week of at least 4 h with a blood flow >200 mL/min and a dialysate flow >500 mL/min in intermittent group and as 20-25 mL/kg/h of effluent, by filtration and/or diffusion in continuous form until recovery of renal functions"
cirrhosis,"The current prospective randomized controlled trial would aim to study the efficacy of targeted albumin therapy versus standard medical treatment in reduction in 6-month mortality in recurrent ascites in patients with decompensated cirrhosis. Additionally, we aim to evaluate the efficacy of albumin in decreasing the incidence of complications: paracentesis induced circulatory dysfunction (PICD), AKI, hyponatremia, bacterial infections, hepatic encephalopathy and variceal bleed, impact on systemic hemodynamics and portal pressures, renal reserve as assessed by biomarkers and on immunomodulation. In this open labeled randomized study, consecutive cirrhotic patients, fulfilling the inclusion criteria and exclusion criteria will be enrolled in the study.||The patients will be randomized to 2 groups by the clinical trial coordinator (CTC). The CTC will be blind to the patient and treatment received, and the allocation concealment by the sequentially numbered opaque sealed envelopes (SNOSE) technique would be done. Patients would be assessed every 2 weeks for first 8 weeks with serum albumin levels, ascites grade and use of diuretics and then every 3 months. The treatment would receive targeted albumin therapy as detailed in methods while patients in the other group would receive standard medical treatment. The primary outcome of the study would be evaluation of 6-month mortality while secondary outcome measures would be the incidence of liver-related complications at 3, 6 and 12 months, survival free of liver transplant and TIPS in both groups at 6 months and 1 year, improvement in quality of Life as assessed by short form survey-36 version (SF-36) at 6 and 12 months, improvement in renal reserve (as assessed by renal biomarkers) at 3, 6 and 12 months, reduction in the frequency of large volume paracentesis at 3, 6 and 12 months and change in immune parameters at 3 and 6 months."
cirrhosis,"Patients with cirrhosis are particularly prone to infection which is frequently a precipitant of hepatic encephalopathy, renal failure and circulatory collapse. Bacterial infections are of particular concern in patients with cirrhosis because they are poorly tolerated. Sepsis and associated endotoxaemia whereby bacteria produce inflammatory particles occur in approximately 40% of hospitalized patients with cirrhosis and is a major cause of death.||Gut-derived and blood-borne pathogens can induce an inflammatory response within the liver and spleen, which are the major organs that remove bacteria and their endotoxin (such as lipopolysaccharide - LPS and bacterial DNA itself) from the bloodstream. Several mechanisms have been identified and proposed in this process which depends upon a balance between the barrier functions of the gut and the 'detoxifying' capacity of the liver. People with established liver cirrhosis have been shown to have escape of endotoxin into the bloodstream produced by bacteria that reside in their intestines, which becomes more permeable or 'leaky'.||Gut dysfunction is defined by changes in the types of bacteria within the gut and in overall permeability allowing bacterial products which would otherwise be contained within the gut to travel into the bloodstream and lymphatic system with detrimental effects elsewhere in the body. This passage of bacterial products is termed bacterial translocation, and it's effects on the liver and general immune system can be then be measured.||It has now become recognised that certain types of white blood cells such as neutrophils and monocytes become dysfunctional and this predisposes to infection and may also have a more direct pathogenic role in hepatic encephalopathy. Thus neutrophil and monocytes may be a novel pharmacotherapeutic target in a condition where current therapies such as bowel aperients (e.g. lactulose) are inadequate. A therapeutic strategy utilising Rifaximin, a non-absorbable antibiotic, to modulate gut bacterial which produce ammonia, a chemical known to be important in the cause of hepatic encephalopathy, could potentially lower gut-derived systemic inflammation, endotoxaemia, infection and organ dysfunction in this population improving outcomes and prolonging transplant-free survival.||We therefore plan to test if Rifaximin positively affects markers of immune dysfunction in patients with liver cirrhosis experiencing chronic hepatic encephalopathy after 30 days of treatment, as our primary research question.||Positive results from this study would support further trials into the potential benefit of using Rifaximin to improve immune function, as well as reduce the recurrence of hepatic encephalopathy, in patients with liver cirrhosis."
cirrhosis,"Periodontitis is common in patients with cirrhosis and may lead to systemic sepsis. 1 Grønkjær et al demonstrated that severe periodontitis predicted higher mortality in patients with cirrhosis. 2 In India, the wide use of oral tobacco, smoking and poor dental hygiene fosters a dual hit to the outcomes of liver disease especially in the setting of liver transplantation. However, a causal relationship between the oral microbiome and liver disease and outcomes is a matter of conjecture. Oral bacterial diseases, such as caries and periodontitis are caused by a consortium of bacteria rather than a single species. These constitute opportunistic infections that occur under the proper circumstances and conditions, e.g., diet, host immune response, complicating systemic or genetic disorders, pH, poor oral hygiene and lifestyle. It is well known that specific bacterial taxa that colonize the oral cavity are associated with oral health and oral diseases or afflictions, such as dental caries, periodontal diseases, endodontic lesions, dry socket, halitosis, and odontogenic infections.||Bajaj et al have demonstrated systematic periodontal therapy in cirrhotic outpatients improved endotoxemia, as well as systemic and local inflammation, and modulated salivary and stool microbial dysbiosis over 30 days. Bajaj et al performed another study on comparison of oral and gut microbiota in patients with and without hepatic encephalopathy.||There were differences in salivary microbiota composition and inflammatory markers between controls and cirrhotics. The association between periodontitis, oral dysbiosis and the prognosis of cirrhosis remains crucial with relevance to situations like acute-on-chronic liver failure and other inflammation-related adverse events."
cirrhosis,"Liver transplantation has been universally recognized to improve survival of patients suffering from end-stage (Pugh C) alcoholic cirrhosis. However, for Pugh B patients, the benefit of liver transplantation remains to be demonstrated. The aim of the present study was to compare the outcome of Pugh B patients with alcoholic cirrhosis randomly assigned for immediate liver transplantation (group 1) or standard treatments (group 2)."
cirrhosis,"Patients with advanced cirrhosis have abnormal translocation of Gram-negative bacteria across the intestinal barrier and subsequent systemic inflammatory response. We hypothesized that this translocation may worsen the underlying liver disease. Thus, the aim of this trial was to assess the effects of the oral administration of norfloxacin (an antibiotic that suppresses intestinal Gram-negative bacteria) on the development of complications of cirrhosis."
cirrhosis,The purpose of this study is to determine whether steroid-related complications can be avoided by using steroid-free immuno-suppressive drug regimen after liver transplantation.
cirrhosis,"Study population: Decompensated cirrhotics requiring primary prophylaxis with asciteswho are admitted to and attending the OPD at ILBS.||Study Design : A Randomized controlled trial Study period : August 2019 to December 2020 (1.5 Years) Intervention : Treatment naïve patients will be given Propranolol and dose will be titrated every 2ndday to attain a target heart rate of 55.||One group patients will be given maximum tolerated dose of propranolol with initial dosage of 20mg once a day and uptitrating every 2nd day by 20 mg.The patients who bleed will undergo EVL session.||To the other group Midodine will be added to Propranolol.It will be started at 2.5mg TDS and will be uptitrated every 2nd day to a max of 10mg TDS to attain a MAP of atleast 70mm Hg and then uptitate the beta blocker simulataneously to attain the target heart rate. The patients who bleed will undergo EVL session.||Monitoring and assessment :||The patient will be monitored every day. The patient will undergo physical examination, complete blood counts, at baseline, LFT, KFT, at every 2nd day and day 7 from the start of therapy.||Adverse effects : Bradycardia and hypotension due to beta blockers Stopping rule : Severe hyponatraemia (<125), low mean arterial pressure(<65) or cardiac output and increasing serum creatinine(>1.5) identifies more vulnerable patients among those with decompensated cirrhosis, in whom a dose reduction or temporal discontinuation of NSBB treatment will be considered."
cirrhosis,"Research question: Do oral probiotics in patients with cirrhosis and ascites reduce intestinal bacterial concentrations, ascitic bacterial DNA, SBP and bacteraemia compared to antibiotics or placebo?||This study is designed to investigate the effects of an oral probiotic (VSL#3; a mixture of ""healthy"" bacteria for the intestines) compared to an antibiotic or placebo in preventing infection developing in the abdominal fluid (""ascites"") that collects in patients with advanced liver disease (""cirrhosis""). Patients already having had infection will be excluded from the study. Clear inclusion and exclusion criteria will be met and patients will be monitored throughout the study to examine whether they have required more hospitalisations, their rate infection in abdominal fluid or elsewhere and the level of liver function."
cirrhosis,"Thrombosis occurring in the small intrahepatic, as well as in the large vessels is involved in the progression of cirrhosis. Anticoagulation could reduce morbidity and mortality in cirrhotic patients"
cirrhosis,"Liver cirrhosis is the 10th most common cause of death in the western world. Infection is the most common precipitant of deterioration of liver function in cirrhosis. Endotoxin, derived from gram-negative organisms in the gut, can enter the circulation due to increased gut permeability and contributes to neutrophil dysfunction, infection risk and mortality in alcoholic cirrhotics. As probiotics decrease gram-negative organisms in the gut and/or decrease gut permeability, the investigators hypothesize that probiotic treatment would restore neutrophil function and prevent infection in alcoholic cirrhosis.||The investigators hypothesize that administration of a probiotic mixture in patients with liver cirrhosis will improve innate immune function through alteration of the gut bacterial flora and gut barrier integrity.||The aim of this randomised, double-blinded placebo-controlled study is to assess whether food supplementation with probiotic mixture improves neutrophil phagocytic capacity in patients with cirrhosis and decreases the incidence of significant infections.||92 patients with alcoholic cirrhosis will be included according to a sample size calculation from preliminary data. Patients will be randomized in two groups: Group 1 receives a probiotic mixture Group 2 receives a similar looking and tasting placebo without bacteria. The recruited patients will be treated for 6 months. Besides routine clinical and laboratory assessments, neutrophil function, toll-like receptor expression, endotoxin levels, bacterial DNA, cytokine levels, albumin oxidation, gut permeability and analysis of gut microflora will be performed. Furthermore nutritional status and quality of life will be assessed.||Primary endpoints will be neutrophil phagocytosis. Secondary endpoints will be significant infection, neutrophil oxidative burst, neutrophil toll-like receptor expression, endotoxin levels, bacterial DNA; cytokine levels, albumin oxidation, gut barrier function and bacterial flora, nutritional status and quality of life.||If our hypothesis holds true, probiotics will provide an easily applicable and cost effective method to improve immune function and to prevent infection in liver cirrhosis. It is possible that this can improve survival of patients with liver cirrhosis."
cirrhosis,"Spontaneous bacterial peritonitis (SBP) is a common and frequently fatal complication of end-stage liver disease with a mortality of up to 10%, primarily due to the development of kidney failure. Current standard practice is to treat this infection with broad spectrum antibiotics and salt-poor albumin administration on day one and three of treatment. In this study the investigators test the hypothesis that the administration of a second dose of albumin at 48 hours only to patients with renal insufficiency, is as effective at preventing kidney failure as administering the second dose to all patients at 72 hours."
cirrhosis,"The purpose of the study is to evaluate whether Viusid, a nutritional supplement, reduce the mortality and the complications (ascites, spontaneous bacterial peritonitis, hepatorenal syndrome, hepatic encephalopathy, gastrointestinal bleeding, sepsis and hepatocellular carcinoma) of patients with cirrhosis of the liver secondary to HCV infection in comparison with placebo, during 96 weeks of treatment."
cirrhosis,"Advanced liver disease and low ascitic fluid protein concentration have been identified as risk factors for spontaneous bacterial peritonitis in cirrhosis. Moreover, renal impairment and hyponatremia increase mortality rate of this infection. Aims: To investigate if oral administration of norfloxacin prevents the first episode of SBP, hepatorenal syndrome and improves survival in cirrhotic patients with ascites and low protein concentration in ascitic fluid (<15 g/L) and at least one of the following inclusion criteria: functional renal failure (serum creatinine ≥ 1,2 mg/dl or BUN ≥ 25 mg/dl), hyponatremia (serum sodium ≤ 130 mEq/L) or advanced liver disease (Child ≥ 9 points with serum bilirubin ≥ 3 mg/dl). Methods: Prospective, multicenter, randomized, double-blind placebo controlled trial comparing oral norfloxacin (400 mg/d; n=35) with placebo (n=35)."
cirrhosis,"Spontaneous bacterial peritonitis (SBP) is one of the most serious complications of liver cirrhosis. Mainstay of treatment for SBP is use of proper antibiotics. Although, several antibiotics including cefotaxime, ceftriaxone, or ciprofloxacin are being used, it is unclear which drug is most effective. Our aim of study is to compare the efficacy of the three current antibiotics for the treatment of SBP in patients with liver cirrhosis.||The primary hypothesis is that the efficacy of all the antibiotics will not significantly different. This is non-inferiority trial."
cirrhosis,"This study is aimed to assess the efficacy of Human derived Transfer factor ( T-lymphocytes homogenate that contains small molecular weight (10 kDa) molecules: various IFNs, ILs, chemokines, endorfins, heat shock proteins) in decreasing rate and/or severity of infections in acute or chronic decompensations of liver cirrhosis and acute on chronic liver failure.."
sepsis,"Approximately one-third of neonatal deaths in developing countries are due to infections acquired through the birth canal and/or exposure to an unclean environment soon after birth. Current World Health Organization recommendations for the management of infants younger than 2 months of age who have serious bacterial infections involve hospitalization and parenteral therapy for at least 10 days with antibiotic regimens containing penicillin or ampicillin combined with an aminoglycoside.However, in many settings throughout the developing world, this is not currently possible, nor is this standard of care likely to be feasible in the near future. Several studies have reported that for a variety of sociocultural reasons many families are unable or unwilling to access hospital-based care and their sick young infants do not get hospitalized, and instead, receive a variety of home-based antibiotic therapies, or none at all. In our community field sites, approximately 70% of families refuse hospital referral for a sick newborn, despite provision of transport.||Thus, there is an urgent need to define the role of community/first-level facility-based care versus hospitalization for the management of young infants with serious bacterial infections, and the potential for community-based parenteral antibiotics as an alternative strategy in resource poor areas with high neonatal mortality rates. Bang and colleagues have demonstrated significant reductions in neonatal mortality from infections in an underdeveloped rural district in Maharashtra, India by a field-based case management approach which used oral cotrimoxazole and intramuscular gentamicin given for 7 days as treatment for neonates with sepsis.||This study is an equivalence randomized controlled trial (RCT) comparing once daily IM ceftriaxone injection to once daily IM procaine penicillin and gentamicin injection, to once daily intramuscular gentamicin injection and twice daily oral cotrimoxazole, given for 7 days in babies with clinically-diagnosed possible serious bacterial infection (pneumonia, or sepsis with or without local infections such as skin or umbilical infections) whose families refused referral to a hospital. After supplementary informed consent, patients meeting specific inclusion and exclusion criteria are randomly allocated to one of the three regimens being tested. The study hypothesis is that all 3 regimens will perform equally well in the treatment of sepsis in a first-level facility setting."
sepsis,"Infections are the important cause of high mortality in young infants in developing countries. Zinc is a crucial micronutrient as it influences various immune mechanisms and modulates host resistance to several pathogens. It has shown benefits as an adjunct therapy in infections like diarrhea and pneumonia in older children Given the predisposition of young infants in developing countries to zinc deficiency and infections, addition of zinc to standard treatment of serious bacterial infections may lead to significant improvements in the outcomes.||Several hypotheses will be examined in this clinical trial. The primary objective is to measure, in a double blind randomized controlled trial, the efficacy of giving 2 RDA (Required Daily Allowance 10 mg) of zinc orally in addition to routine antibiotics, for treatment of possible serious bacterial infection in infants >= 7 days and up to 4 months of age in reducing the proportion of treatment failures and time to discharge from the hospital. This will evaluate the clinical consequences of the possible immunomodulation by zinc supplementation. This is critical to demonstrate because nearly 80% of infant mortality occurs in first months of life.||Young infants with possible serious bacterial infections fulfilling the inclusion criteria will be enrolled in the study and stratified into 4 groups on basis of weight for age 'z' scores < -2 z and >=- 2 z and whether he/she has diarrhea or not. Within each stratum the subjects will be randomized to receive zinc or placebo. Treatment failures will be defined by the need for a change of initial antibiotic therapy. The minimum duration of monitoring will be till clinical recovery (using predetermined criteria). Serum copper, serum ferritin and serum transferrin receptors will be determined at enrollment, 72 hours after enrollment and at discharge from the hospital. Concentrations of CRP and procalcitonin will be measured at baseline, 72 hours after enrolment and at clinical recovery.||Documentation of efficacy of addition of zinc to standard therapy may provide a simple and low-cost strategy to improve survival in serious infections in young infants. This is likely to have a significant impact on infant morbidity and mortality. It will be good example of using a simple immunomodulator beneficially in improving child health."
sepsis,The primary objectives of this study are:||To assess the safety and tolerability of cefiderocol after single-dose administration in hospitalized paediatric patients 3 months to < 18 years of age with suspected or confirmed aerobic Gram-negative bacterial infections|To assess the pharmacokinetics (PK) of cefiderocol after single-dose administration of cefiderocol in hospitalized paediatric patients 3 months to < 18 years of age with suspected or confirmed aerobic Gram-negative bacterial infections|To assess the safety and tolerability of cefiderocol after multiple-dose administration in hospitalized paediatric patients 3 months to < 12 years of age with suspected or confirmed aerobic Gram-negative bacterial infections|To assess the PK of cefiderocol after multiple-dose administration in hospitalized paediatric patients 3 months to < 12 years of age with suspected or confirmed aerobic Gram-negative bacterial infections
sepsis,Randomized controlled open-label non-inferiority trial comparing complete intravenous antibiotic treatment with a short iv. course followed by oral antibiotics in neonates (0-28 days) with probable bacterial infection.||Primary outcome:||- Bacterial re-infection within 28 days after finishing of antibacterial therapy.||Secondary outcome(s):||Pharmacokinetic profile of oral amoxicillin/clavulanic acid|Quality of life|Cost-effectiveness|Alterations in gut microbiome|Use of molecular techniques for better detection of bacterial pathogens
sepsis,"Leukocyte depletion of autologous whole blood prior to storage does not reduce infection rate (wound, urinary tract, other), use of antibiotic treatment and length of hospital stay but may increase retransfusion perioperatively during hip arthroplasty and allogenic transfusion rate"
sepsis,Aim of the study is to verify whether Polymyxin-B hemoperfusion protects from renal dysfunction in patients with severe sepsis from gram negative infection.
sepsis,"The purpose of this study is to determine whether low dose continuous infusion of unfractioned heparin (500 units/hour), in addition to the standard treatment, is efficacious as complementary therapy for sepsis patients."
sepsis,The purpose of this study is to test whether a U.S. Food and Drug Administration (FDA) approved laboratory test (PCT Kryptor) can help doctors make better decisions on the need for antibiotic therapy in ICU patients with suspected infections.
sepsis,"Recently, biomarkers like procalcitonin have been studied in order to help physicians to decrease the duration of the antibiotic therapy. The investigators objective was to assess whether the decrease in procalcitonin levels could be used to reduce the antibiotic therapy in critically ill patients with a proven infection without risking a worse outcome."
sepsis,"Sepsis sometimes occurs in people who have a serious infection. It is caused by toxic substances (toxins) from bacteria and other germs entering your bloodstream. Most people with sepsis will recover with routine medical care before the illness gets more serious. However, in some people, sepsis does become more serious. This severe sepsis can cause damage to internal organs (such as your heart, lungs, kidneys, and liver) and can be life threatening. Special natural fats, (called 'lipoproteins') in our blood are thought to help protect us from the toxins produced by bacteria during sepsis. Levels of these lipoproteins are often low in people with sepsis and this may make it more difficult to recover from the disease. GR270773 is a new drug that has been developed to help the lipoproteins in protecting the body against toxins. GR270773 is made from purified fats and oils from the soyabean and does not contain cholesterol. This research study will test the safety (side effects) of GR270773 and whether or not it is effective in preventing complications in people with severe sepsis."
sepsis,The purpose of this study is to investigate the safety and tolerability of AP in sepsis patients with renal failure and to investigate the effect of AP on inflammatory and clinical parameters in sepsis patients with renal failure.
sepsis,"This is a randomized, controlled multicenter clinical trial. The purpose of this study is to compare the continuous infusion of vancomycin with intermittent infusion regarding the effectiveness to reach the target serum level and the relationship between infusion type and nephrotoxicity in critically ill patients."
sepsis,"The timely use of antibiotics can reduce morbidity and mortality associated with bacterial infections, particularly in the intensive care unit setting (ICU). Long courses of antibiotics, however, are associated with the emergence of multi-drug resistant organisms and antibiotic-associated adverse events, such as C. difficile infections. Thus, antibiotic de-escalation is an important goal of antimicrobial stewardship programs.||Procalcitonin (PCT) has been investigated as a biomarker for critically ill adult patients with bacterial infection, particularly pneumonia and sepsis. The proposed project will evaluate whether a PCT testing and treatment algorithm, implemented through daily antimicrobial stewardship audit and feedback, can promote early and safe antibiotic de-escalation in the pediatric ICU."
sepsis,"This clinical study designed as a prospective, open labelled, multi-centre, RCT will be carried out to evaluate if direct hemoperfusion with polymyxin B immobilized fiber column (PMX) is superior to conventional medical therapy for sepsis, for patients with sepsis arising from abdominal cavity infection, accompanied by the failure of one or more organs. 120 patients (60 treatment/60 control) will be considered in this study. Those patients fulfilling inclusion criteria and not having exclusion criteria will be randomly allocated to one of two study groups. One group will be treated with PMX (PMX group) and the other will receive a ""standard therapy"" for sepsis (control group). All patients will receive full intensive care management, including fluid resuscitation, vasopressors, antimicrobial chemotherapy, ventilatory support, and renal replacement therapy, if required. Each patient will be followed up for 28 days after study entry."
