"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 1"
"MaxRank: 1000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
11,"Completed","After birth, in the presence of risk factors for early neonatal bacterial infection (IBNP), the pediatrician must make a difficult decision quickly or not to prescribe additional examinations and / or hospitalize or not the newborn in order to administer parenteral antibiotics. This decision takes into account several contextual data, (clinical, biological and bacteriological clinical data) to be considered simultaneously. These information lack sensitivity and specificity.||Therefore, the common attitude among newborns in many countries remains the achievement of a significant number of additional tests and the establishment, without a prior evidence of infection, intravenous empirical antibiotic therapy for 48 -72h at least in hospitalization. However, the diagnosis of IBNP posteriori, is often reversed. This attitude is:||one source to higher health care costs (hospitalization, additional examinations)|Selection of the bacterial ecology of the newborn and neonatal services and|stress for the newborn and parents","Neonatal Bacterial Infection","Accepts Healthy Volunteers","Interventional","April 2009","December 2015","dosage of the umbilical cord blood Procalcitonin for diagnosing of IBNP","Biological","Not Applicable","All","30 Minutes",,"Diagnostic","Single Group Assignment","France","N/A","550",,
12,"Unknown status","Febrile shivering in the pediatric population is assumed to be related to a Severe Bacterial Infection (SBI). Research supporting this assumption is scant. The purpose of this study is to describe the frequency of febrile shivering in the pediatric population arriving at the emergency department and to define its role in predicting a SBI.","Febrile Shivering|Severe Bacterial Infection","No","Observational","January 2016","December 2016","Ancillary tests","Other",,"All","18 Years","3 Months",,,"Israel",,"200",,
13,"Unknown status","Acute hepatic insults including hepatitis flare-up, active alcohol assumption and hepatotoxic drug use are common in patients with cirrhosis especially in Eastern countries.These patients are at high risk of developing acute-on-chronic liver failure (ACLF) and associated with high short-term mortality. And the natural history of these patients is frequently complicated by bacterial infections, which lead to deterioration of underlying diseases. The present study is aimed to investigate the prevalance and risk factors of bacterial infections in those patients and its impact on in-hospital/short-term mortality.","Cirrhosis, Liver|Bacterial Infections|Acute Liver Injury","No","Observational","July 20, 2017","January 18, 2019","No intervention","Other",,"All",,,,,"China",,"500",,
14,"Completed","The study will evaluate the efficacy and safety of imipenem+cilastatin/relebactam (MK-7655A) versus colistimethate sodium+imipenem+cilastatin in the treatment of imipenem-resistant bacterial infections. Infections evaluated in the study will be hospital-acquired bacterial pneumonia (HABP), ventilator-associated bacterial pneumonia (VABP), complicated intra-abdominal infection (cIAI), and complicated urinary tract infection (cUTI).","Bacterial Infections","No","Interventional","August 21, 2015","September 18, 2017","Imipenem+Cilastatin/Relebactam|Colistimethate sodium (CMS)|Imipenem+Cilastatin|Placebo to CMS","Drug|Drug|Drug|Drug","Phase 3","All",,"18 Years","Treatment","Parallel Assignment",,"Randomized","50","2|3|1","4|5|3"
15,"Completed","Levels of PCT (a marker of bacterial infection) are highest during sepsis: in fact, PCT is normally produced by the C cells in the thyroid gland. PCT was initially studied by Assicot1 for distinguishing between bacterial meningitis and viral meningitis. The CALC-I gene codes for PCT. In the absence of infection, the extrathyroid mRNA expression of the CALC-I gene is repressed, and expression is restricted to neuroendocrine thyroid and pulmonary cells. Infection induces the ubiquitous expression of the CALC-I gene. PCT is not transformed into calcitonin in parenchymatous tissues. In a context of sepsis, the whole body acts as a neuroendocrine gland. Sepsis upregulates PCT mRNA expression much more than that of other cytokines.||PCT is used in critical care departments as a diagnostic marker, a guide to treatment (antibiotics are withdrawn if the level falls) and a prognostic marker.||There are few data on the diagnostic use of PCT in an internal medicine department. The available studies yielded contradictory results and only one prospective study has been performed . The objective was to study PCT in non-infectious, inflammatory pathologies and to establish whether PCT could distinguish infections from other inflammatory pathologies in patients in an internal medicine department. In a ROC curve analysis, a PCT threshold of 0.35 µmol/l gave the greatest specificity (88%) and sensitivity (72%). Other studies have been performed but featured small sample sizes and a retrospective design.||Of the various studies performed in internal medicine departments, none included patients presenting with a suspected bacterial infection (according to the clinician's interpretation) and lacking information on their bacterial status. In fact, these diagnoses are a core component of hospitalisation in internal medicine departments for fever or inflammatory syndrome. The investigators intend to include all patients, including those lacking information on their microbiological status).","Systemic Inflammatory Response Syndrome|Fever","No","Observational","February 11, 2016","October 18, 2016","Procalcitonin (PCT) as a diagnostic marker of bacterial infection","Biological",,"All",,"18 Years",,,"France",,"116",,
16,"Recruiting","The purpose of this Phase 1 trial is to evaluate the pharmacokinetics, safety and tolerability of oritavancin in patients <18 years old with a confirmed or suspected bacterial infection.","Gram Positive Bacterial Infections","No","Interventional","May 2014","December 2022","Oritavancin","Drug","Phase 1","All","18 Years",,"Treatment","Single Group Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States","N/A","52",,
17,"Completed","This study aims to evaluate new dosage of inflammatory markers or new inflammatory markers for the diagnosis of nosocomial bacterial infection. We made the hypothesis that these new dosages or new inflammatory markers could be more useful than dosage of inflammatory markers already used in clinical practice (especially the use of a combination of interleukins (6 or 8) and C-reactive protein for the management of newborns with a clinical suspicion of nosocomial bacterial infection and especially could allow to avoid excessive treatment with antibiotics","Nosocomial Infection","No","Observational","July 2008","December 2013",,,,"All","90 Days",,,,"France|France",,"240",,
18,"Recruiting","A single dose infusion of Vabomere (meropenem-vaborbactam) is being tested for dose-finding, pharmacokinetics, safety, and tolerability in pediatric subjects from birth to less than 18 years of age with serious bacterial infections","Bacterial Infections","No","Interventional","July 2016","June 2023","Vabomere","Drug","Phase 1","All","17 Years",,"Treatment","Single Group Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States","N/A","60",,
19,"Completed","Adolescent subjects hospitalized for the treatment of bacterial infections will be given 1 gram of dalbavancin through their veins and levels of dalbavancin in blood and urine will be measured at different time points. Safety labs will also be checked on a regular basis to assess the safety of dalbavancin.","Bacterial Infections","No","Interventional","September 2008","July 2009","Dalbavancin","Drug","Phase 1","All","17 Years","12 Years",,"Single Group Assignment","United States|United States|United States","Non-Randomized","10",,
20,"Completed","A diagnostic accuracy study investigating the accuracy of procalcitonin in diagnosing invasive bacterial infections in your infants.","Sepsis",,"Observational","August 1, 2017","January 1, 2018",,,,"All","90 Days",,,,"United Kingdom",,"126",,
21,"Terminated","The purpose of this study is to evaluate the Pharmacokinetic (PK) profile of a single intravenous (IV) infusion dose of dalbavancin, and to evaluate the safety and tolerability of a single dalbavancin IV infusion.","Bacterial Infections","No","Interventional","April 1, 2016","April 3, 2019","Dalbavancin","Drug","Phase 1","All","28 Days",,"Basic Science","Parallel Assignment","United States|United States|United States|United States|United States","Randomized","8",,
22,"Terminated","International registry on the use of Pentaglobin® in patients with severe bacterial infections; multicentric, international registry, non-interventional trial","Severe Bacterial Infection","No","Observational","November 8, 2017","October 29, 2020",,,,"All",,"18 Years",,,"Brazil|Colombia|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Turkey|Turkey",,"56",,
23,"Unknown status","The primary purpose of this experimental therapy is to treat, with the aid of bacteriophages, patients with non-healing postoperative wounds or bone, upper respiratory tract, genital or urinary tract infections in whom extensive antibiotic therapy failed or the use of the targeted drug is contraindicated.","Bacterial Infections","No","Interventional","December 2005",,"Bacteriophage preparation","Other","Not Applicable","All",,"18 Years",,,"Poland",,,,
24,"Completed","The purpose of this work was to study the incidence, types, risk factors and causative organisms of bacterial infections in HCV Egyptian patients following Liver Transplantation. Moreover, to identify the emerging resistant strains and their proper antimicrobial therapy","Transplantation Infection","No","Observational","January 2014","November 2015","Living donor liver transplantation","Procedure",,"All","60 Years","18 Years",,,,,"45",,
25,"Completed","Hospital-acquired infections are common complications in preterm infants. The diagnosis has to be fast and accurate. Indeed, the early identification of a suspected infection is very important, since the early administration of antibiotics lowers the risk of septic shock and improves long term outcome in the infected newborns who survive. Besides, a high specificity in the diagnosis of infection allows for the reduction of inappropriate treatment and thus prevents the emergence of antibiotic resistance.||The aim of this study is to develop a computer-assisted diagnosis tool, based on the real time analysis of cardio-respiratory signals, to aid the neonatologist in the diagnosis of infection of the preterm infant, at the bedside.","Bacterial Infection","No","Observational","May 2012","December 24, 2018","Analysis of the heart rate and respiratory characteristics / Telemonitoring system prototype developed by INSERM U-642","Procedure",,"All","32 Weeks","24 Weeks",,,"France|France|France",,"525",,
26,"Completed","ANTOINE is a prospective trial which aims to assess diagnostic performance of 7 biomarkers for the diagnosis of severe bacterial infections (SBI) in children aged from 7 days to 36 months.||Fever is a frequent cause of consultation in pediatric emergency departments. Clinical diagnostic tools are rare and discrimination between severe bacterial infection and viral infection is difficult to confidently state. The prevalence of severe bacterial infections (IBS) varies from 10 to 25% according to the studies. Biological markers such as procalcitonin (PCT) and C-reactive protein (CRP) are commonly used in clinical practice. These markers have bacterial specificity but share a wide range of values with viral infections and do not make it possible to exclude or to confirm definitively the diagnosis of IBS. The use of new markers to improve the diagnosis of bacterial and viral infections is increasingly studied in adults. The diagnostic value of these new markers has been demonstrated by associating their dosage with that of CRP for example. This is the case for IP-10, TRAIL or MxA. However, very few pediatric studies have been carried out to date on these new biomarkers. However, in pediatrics, these diagnostic tools based on the combination of biomarkers to discriminate against viral and bacterial infections could be a major help in the suspicions of IBS. 7 biomarkers were selected to be evaluated in this study. This study is designed to determine the best biomarkers combination for the SBI diagnosis on a cohort of 800 patients.","Infection, Bacterial|Infection Viral","No","Interventional","June 6, 2017","June 12, 2019","Diagnostic performances of a combination of biomarkers","Biological","Not Applicable","All","36 Months",,"Diagnostic","Single Group Assignment","France|France|France","N/A","983",,
27,"Recruiting","The primary purpose of this study is to evaluate the safety and tolerability of imipenem/cilastatin/relebactam (IMI/REL) in participants from birth to less than 18 years of age with confirmed or suspected gram-negative bacterial infection. Participants are expected to require hospitalization through completion of intravenous (IV) study intervention, and have at least one of the following primary infection types: hospital-acquired bacterial pneumonia (HABP) or ventilator-associated bacterial pneumonia (VABP); complicated intra-abdominal infection (cIAI); or complicated urinary tract infection (cUTI). Participants will be randomized in a 3:1 ratio to receive IMI/REL or active control. This study will also evaluate the efficacy of IMI/REL by assessing all-cause mortality at Day 28 post-randomization, as well as clinical and microbiological response to treatment. It will also evaluate the pharmacokinetics of IMI/REL.","Suspected or Documented Gram-negative Bacterial Infection","No","Interventional","October 8, 2019","November 13, 2022","IMI/REL|Active Control","Drug|Drug","Phase 2|Phase 3","All","17 Years",,"Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Colombia|Colombia|Colombia|Colombia|Colombia|France|France|Israel|Israel|Israel|Israel|Mexico|Mexico|Mexico|Mexico|Norway|Philippines|Philippines|Poland|Poland|Poland|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|South Africa|South Africa|South Africa|Spain|Spain|Spain|Turkey|Turkey|Turkey|Turkey|Turkey|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine","Randomized","140",,
28,"Unknown status","Approximately one-third of neonatal deaths in developing countries are due to infections acquired through the birth canal and/or exposure to an unclean environment soon after birth. Current World Health Organization recommendations for the management of infants younger than 2 months of age who have serious bacterial infections involve hospitalization and parenteral therapy for at least 10 days with antibiotic regimens containing penicillin or ampicillin combined with an aminoglycoside.However, in many settings throughout the developing world, this is not currently possible, nor is this standard of care likely to be feasible in the near future. Several studies have reported that for a variety of sociocultural reasons many families are unable or unwilling to access hospital-based care and their sick young infants do not get hospitalized, and instead, receive a variety of home-based antibiotic therapies, or none at all. In our community field sites, approximately 70% of families refuse hospital referral for a sick newborn, despite provision of transport.||Thus, there is an urgent need to define the role of community/first-level facility-based care versus hospitalization for the management of young infants with serious bacterial infections, and the potential for community-based parenteral antibiotics as an alternative strategy in resource poor areas with high neonatal mortality rates. Bang and colleagues have demonstrated significant reductions in neonatal mortality from infections in an underdeveloped rural district in Maharashtra, India by a field-based case management approach which used oral cotrimoxazole and intramuscular gentamicin given for 7 days as treatment for neonates with sepsis.||This study is an equivalence randomized controlled trial (RCT) comparing once daily IM ceftriaxone injection to once daily IM procaine penicillin and gentamicin injection, to once daily intramuscular gentamicin injection and twice daily oral cotrimoxazole, given for 7 days in babies with clinically-diagnosed possible serious bacterial infection (pneumonia, or sepsis with or without local infections such as skin or umbilical infections) whose families refused referral to a hospital. After supplementary informed consent, patients meeting specific inclusion and exclusion criteria are randomly allocated to one of the three regimens being tested. The study hypothesis is that all 3 regimens will perform equally well in the treatment of sepsis in a first-level facility setting.","Bacterial Infection|Sepsis|Infant, Newborn","No","Interventional","November 2003","December 2005","ceftriaxone, procaine penicillin and gentamicin, oral cotrimoxazole and gentamicin","Drug","Phase 3","All","59 Days",,"Treatment","Single Group Assignment","Pakistan","Randomized","426",,
29,"Not yet recruiting","In this pilot single-armed open-label intervention study of up to 10 individuals with Opioid Use Disorder (OUD) and serious bacterial infections (SBI) organized into two consecutive groups of up to 5 individuals each, the investigators will measure addiction outcomes and the acceptability and feasibility of adding Mindfulness Oriented Recovery Enhancement (MORE), a promising mind-body therapy to gold standard in-hospital addiction consultation among hospitalized individuals with OUD-SBI in advance of a planned two-arm pilot randomized controlled trial.","Opioid-use Disorder|Serious Bacterial Infections","No","Interventional","December 2021","December 2022","Mindfulness Oriented Recovery Enhancement Sessions","Behavioral","Not Applicable","All",,"18 Years","Treatment","Single Group Assignment",,"N/A","10",,
30,"Approved for marketing","Expanded access may be provided for cefiderocol for qualified patients who have limited treatment options and are not eligible for a clinical trial.","Bacterial Infections",,"Expanded Access",,,"Cefiderocol","Drug",,"All",,,,,,,,,
31,"Completed","The purposes of this study are:||To determine whether procalcitonin level at admission of pediatric patients with bacterial infections can be used as a marker for prediction of defervescence and hospitalization length|To examine the kinetics of procalcitonin in pediatric patients with bacterial infections and persistent fever","Bacterial Infections|Bacteremia|Meningitis|Urinary Tract Infection|Mastoiditis|Lobar Pneumonia|Septic Arthritis|Cellulitis|Osteomyelitis","No","Observational","August 2008",,,,,"All","16 Years",,,,"Israel",,"50",,
32,"Completed","This study compares 2 different treatments administered to try to prevent serious bacterial infections (such as pneumonia) in HIV-positive children. A combination of drugs (azithromycin plus atovaquone) will be compared to sulfamethoxazole-trimethoprim (SMX/TMP) alone. This study also evaluates the long-term safety and tolerance of these different drugs.||SMX/TMP is a commonly prescribed drug for the prevention of bacterial infections. However, the combination of azithromycin and atovaquone may be safer and more effective than SMX/TMP. This study compares the 2 treatments.","Bacterial Infections|Pneumonia, Pneumocystis Carinii|HIV Infections","No","Interventional",,"November 2001","Azithromycin|Atovaquone|Sulfamethoxazole-Trimethoprim","Drug|Drug|Drug","Phase 2","All","18 Months","3 Months","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Puerto Rico|Puerto Rico|Puerto Rico",,"690",,
33,"Completed","In recent years, there has been an increasing prevalence of bacterial infections caused by multiresistant and extremely resistant organisms in patients with cirrhosis. These infections are associated with a worse prognosis, generate difficulties in the management of the patient during hospitalization and increase health costs.||The main objective of this project is to estimate the prevalence of infections by multiresistant bacteria in patients with cirrhosis. Additionally, the prevalence of other antibiotic resistance patterns and morbi-mortality in the study population will be evaluated.||For these purposes, a multicenter prospective cohort study will be carried out, including patients with cirrhosis who present bacterial infections at the time of admission, or during hospitalization.||Performing a study in Argentina on the clinical and microbiological characteristics of bacterial infections in patients with cirrhosis could be very useful to develop new strategies for prevention and treatment of this severe complication.","Bacterial Infections|Cirrhosis|Resistant Infection|Morality","No","Observational","October 16, 2018","December 31, 2019","This is an observational study without intervention","Other",,"All",,"18 Years",,,"Argentina",,"444",,
34,"Enrolling by invitation","Current study evaluates the relationship between cell immunity and lipid transport systems in patients with severe bacterial infections (on the model of pneumonia, infective endocarditis, sepsis) in order to develop new methods for predicting the course and outcome of severe bacterial infections.","Sepsis|Infective Endocarditis|Pneumonia, Bacterial",,"Observational","July 1, 2019","December 31, 2020","Bood leukocyte subsets|The cholesterol content of the cell membrane of T-cells and monocytes","Diagnostic Test|Diagnostic Test",,"All","60 Years","18 Years",,,"Belarus",,"100",,
35,"Completed","The last decade has witnessed an important reduction of the mortality in children under 5 years but such reduction has not impacted in neonates. Mortality in neonates contributes 40% of all deaths occurring in children below 5 years of age.||Severe bacterial disease is among the leading causes of neonatal deaths. Bacterial disease follows bacterial infection. Individuals can be infected without developing disease (carriage stage) but infection is needed to subsequently develop disease. In sub-Saharan Africa, bacterial carriage (i.e. in the birth canal and/or nasopharyngeal tract) is very common in all age groups, with the consequence that occurrence of bacterial disease is one of the highest in the world.||Newborns can be infected during labour - when passing through the birth canal - and during the first days/weeks of life, as a consequence of the close physical contact with the mother, if the latter carries bacteria in the nasopharyngeal tract.||If the mother is an important source of bacterial infection to the newborn, treating mothers with a powerful antibiotic during labour should decrease bacterial carriage and therefore diminish the risk of bacterial transmission to the newborn during the first days/weeks of life, which should in turn result in the lower occurrence of severe bacterial disease and hence lower mortality.||The purpose of this trial is to evaluate the impact of a single oral dose of azithromycin given to women in labour on bacterial carriage of the newborn as well as the women during the first month after delivery.||The investigators have selected an antibiotic (azithromycin) that in sub-Saharan Africa has already shown both a strong impact on bacterial nasopharyngeal carriage and on all-cause mortality when administered to everybody in a community (mass drug administration). This specific antibiotic has several advantages for being deployable as a simple intervention in rural Africa, i.e. it requires a single oral administration, it has no special storage requirements and it has the potential to eliminate many of the bacteria commonly causing severe disease in newborn.||This clinical trial will be conducted in a peri-urban health facility in Western Gambia. If an impact is shown, the next step would be to conduct a larger study aiming at establishing if the intervention, implemented at a lower level of care (most African women deliver at home assisted by traditional birth assistants), decreases the occurrence of neonatal bacterial disease","Neonatal Infection","Accepts Healthy Volunteers","Interventional","February 2013","August 2015","Azithromycin and Placebo","Drug","Phase 3","Female","45 Years","18 Years","Prevention","Parallel Assignment","Gambia","Randomized","829",,
36,"Recruiting","The study aims to assess the antibacterial effect and symptoms-relief of Qingfei Granule in the patients with pediatric acute upper respiratory tract infection with bacterial infection.","Upper Respiratory Tract Infection|Bacterial Infection|Chinese Medicine|Pediatric Acute Upper Respiratory Tract Infection","No","Interventional","October 17, 2020","November 2021","QingFei Granule|Cefuroxime","Drug|Drug","Early Phase 1","All","14 Years","5 Years","Treatment","Parallel Assignment","China","Randomized","60",,
37,"Completed","The study is an observational blinded Validation study in pediatric patients below 3 years old with a diagnosis of Fever Without Source (FWS). In this study the investigators aim to validate the performance of a proteomic signature aiding the physicians to discriminate between viral and bacterial infections in febrile children. The study will also assess the prevalence of Human Enteroviruses (HEV), Human Parechoviruses (HPeV), Adenovirus (AdV) and Human Herpesvirus type 6 (HHV-6) viremia, as well as Kingella Kingae bacteremia in the study cohort.","Infectious Disease|Fever|Viremia","Accepts Healthy Volunteers","Observational","November 2015","August 2018",,,,"All","3 Years",,,,"Switzerland",,"206",,
