OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,Accept,relatively_shortLen,Not Applicable,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,allAges,noAD
Completed,No,longLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,No,longLen,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,relatively_smallEnrol,4,adults-infants,highAD
Terminated,Accept,relatively_shortLen,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen-infants,highAD
Terminated,Accept,shortLen,Phase 1,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,childTeen-infants,highAD
Completed,Accept,longLen,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-childTeen,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-childTeen,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,allAges,medianAD
Completed,Accept,longLen,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,median_Enrol,1,elderly-childTeen,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,largeEnrol,2,allAges,medianAD
Completed,No,medianLen,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,3,allAges,very_highAD
Completed,Accept,medianLen,Phase 1|Phase 2,All,Basic Science,Single Group Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,No,relatively_shortLen,Phase 2,Female,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,noAD
Completed,No,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,4,childTeen-infants,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,Accept,shortLen,Phase 1,All,Other,Crossover Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,Accept,shortLen,Phase 2,All,Treatment,Single Group Assignment,Randomized,smallEnrol,3,elderly-adults,highAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,2,elderly-adults,highAD
Completed,Accept,shortLen,Phase 1,All,Treatment,Sequential Assignment,Randomized,smallEnrol,2,adults-childTeen,noAD
Completed,Accept,shortLen,Phase 1,All,Treatment,Crossover Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,No,shortLen,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,elderly-adults,highAD
Completed,Accept,shortLen,Phase 1,All,Treatment,Crossover Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 1,All,Treatment,Crossover Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,Accept,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,Accept,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,largeEnrol,3,allAges,noAD
Terminated,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,Accept,shortLen,Not Applicable,All,Supportive Care,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,elderly-adults,noAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,Accept,shortLen,Phase 1,All,Basic Science,Single Group Assignment,Non-Randomized,smallEnrol,2,elderly-adults,highAD
Terminated,No,medianLen,Phase 2,Female,Treatment,Parallel Assignment,Randomized,smallEnrol,2,adults-childTeen,noAD
Completed,No,longLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-childTeen,highAD
Terminated,No,relatively_shortLen,Phase 1|Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,3,elderly-adults,noAD
Terminated,No,shortLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,shortLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,8,adults-infants,very_highAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,No,longLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,childTeen-infants,noAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,7,infants,highAD
Completed,Accept,relatively_shortLen,Not Applicable,All,Basic Science,Parallel Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,No,relatively_shortLen,Phase 1|Phase 2,All,Treatment,Sequential Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,2,elderly-childTeen,highAD
Completed,No,longLen,Phase 2,All,Treatment,Single Group Assignment,Randomized,smallEnrol,2,infants,highAD
Completed,No,medianLen,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,median_Enrol,1,adults-infants,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,childTeen,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,4,elderly-adults,very_highAD
Completed,Accept,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,Accept,shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,5,infants,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,very_highAD
Completed,Accept,medianLen,Phase 4,Female,Prevention,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,Accept,shortLen,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,elderly-adults,noAD
Completed,No,medianLen,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Terminated,No,longLen,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,relatively_smallEnrol,2,allAges,very_highAD
Completed,No,shortLen,Phase 4,Female,Treatment,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,adults,noAD
Completed,No,medianLen,Not Applicable,All,Prevention,Factorial Assignment,Randomized,largeEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Non-Randomized,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Treatment,Factorial Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,1,allAges,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults-infants,noAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,childTeen-infants,highAD
Completed,No,longLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Terminated,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-childTeen,noAD
Terminated,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-childTeen,medianAD
Completed,No,relatively_shortLen,Not Applicable,All,Health Services Research,Parallel Assignment,Randomized,median_Enrol,1,elderly-adults,very_highAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,allAges,medianAD
Completed,Accept,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,4,infants,noAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,elderly-adults,very_highAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,infants,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,4,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,Accept,shortLen,Not Applicable,All,Other,Single Group Assignment,SingleArmNA,largeEnrol,3,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,5,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,allAges,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Factorial Assignment,Randomized,smallEnrol,4,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,4,elderly-adults,very_highAD
Completed,No,shortLen,Phase 2,Female,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,No,medianLen,Phase 1|Phase 2,All,Treatment,Single Group Assignment,Non-Randomized,relatively_smallEnrol,2,adults-infants,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,No,medianLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults-infants,noAD
Completed,No,longLen,Phase 3,Female,Treatment,Parallel Assignment,Randomized,largeEnrol,1,adults-childTeen,medianAD
Completed,No,medianLen,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,relatively_smallEnrol,4,adults-infants,highAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Single Group Assignment,Non-Randomized,smallEnrol,2,childTeen-infants,noAD
Terminated,Accept,medianLen,Phase 3,Female,Prevention,Parallel Assignment,Randomized,largeEnrol,2,adults-childTeen,very_highAD
Completed,Accept,shortLen,Not Applicable,Female,Prevention,Single Group Assignment,SingleArmNA,smallEnrol,1,adults,noAD
Terminated,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,smallEnrol,3,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,longLen,Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,3,childTeen-infants,very_highAD
Completed,No,longLen,Phase 1|Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,10,allAges,very_highAD
Completed,No,relatively_shortLen,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,smallEnrol,1,allAges,highAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,infants,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,allAges,highAD
Terminated,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,Accept,medianLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,largeEnrol,4,infants,very_highAD
Completed,Accept,relatively_shortLen,Not Applicable,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,1,adults-infants,highAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Single Group Assignment,Randomized,smallEnrol,2,adults,highAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,highAD
Completed,Accept,shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,infants,very_highAD
Completed,Accept,relatively_shortLen,Not Applicable,Female,Treatment,Single Group Assignment,Randomized,relatively_smallEnrol,2,adults,noAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,highAD
Completed,No,relatively_shortLen,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,allAges,very_highAD
Completed,No,relatively_shortLen,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,infants,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Non-Randomized,median_Enrol,2,elderly-adults,highAD
Terminated,No,shortLen,Phase 4,All,Prevention,Parallel Assignment,Non-Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,shortLen,Phase 4,All,Basic Science,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,very_highAD
Completed,Accept,relatively_shortLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,largeEnrol,2,childTeen-infants,medianAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,adults-childTeen,noAD
Completed,No,medianLen,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-childTeen,very_highAD
Terminated,Accept,shortLen,Phase 1,All,Prevention,Sequential Assignment,Randomized,smallEnrol,3,adults,noAD
Completed,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,1,elderly-childTeen,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,elderly-adults,very_highAD
Completed,No,longLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,2,elderly-adults,very_highAD
Completed,Accept,medianLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,median_Enrol,1,elderly-childTeen,noAD
Completed,No,relatively_shortLen,Phase 3,All,Treatment,Single Group Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Terminated,No,longLen,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,relatively_smallEnrol,4,childTeen-infants,very_highAD
Completed,Accept,relatively_shortLen,Phase 4,Male,Basic Science,Single Group Assignment,Non-Randomized,smallEnrol,1,adults,noAD
Completed,No,longLen,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,No,medianLen,Phase 4,All,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,allAges,noAD
Completed,No,relatively_shortLen,Phase 2,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,allAges,medianAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,4,childTeen,medianAD
Completed,No,medianLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,1,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Not Applicable,Female,Treatment,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Completed,No,relatively_shortLen,Phase 2,Female,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,2,adults,noAD
"Active, not recruiting",No,longLen,Phase 3,All,Prevention,Parallel Assignment,Randomized,largeEnrol,1,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 2,Female,Prevention,Parallel Assignment,Randomized,relatively_smallEnrol,3,adults,medianAD
Completed,No,relatively_shortLen,Phase 2,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,very_highAD
Completed,No,relatively_shortLen,Phase 3,Female,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,medianAD
Completed,Accept,medianLen,Not Applicable,All,Treatment,Parallel Assignment,Randomized,relatively_smallEnrol,3,elderly-adults,noAD
Completed,Accept,relatively_shortLen,Phase 1,All,Prevention,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
Terminated,Accept,relatively_shortLen,Phase 1|Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,noAD
Completed,No,shortLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,3,elderly-adults,highAD
Completed,No,medianLen,Phase 3,All,Treatment,Parallel Assignment,Randomized,median_Enrol,1,elderly-adults,very_highAD
Completed,No,shortLen,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,smallEnrol,1,elderly-adults,highAD
Completed,No,medianLen,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,smallEnrol,1,elderly-adults,highAD
Completed,Accept,relatively_shortLen,Phase 2,Female,Treatment,Parallel Assignment,Randomized,smallEnrol,2,adults,noAD
Terminated,No,relatively_shortLen,Phase 4,All,Treatment,Parallel Assignment,Randomized,smallEnrol,2,elderly-adults,noAD
