OverallStatus,BriefSummary,Condition,HealthyVolunteers,DurationDays,InterventionType,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,The purpose of this study is to compare clinical response to the measurement techniques of several objective measures of clinical efficacy for use in future ABSSSI (Acute Bacterial Skin and Skin Structure Infection) clinical trials,Skin and Subcutaneous Tissue Bacterial Infections,No,304.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,256.0,3,elderly-adults,13.0
Completed,"The purpose of this study is to determine whether telavancin (TD-6424, ARBELIC) can be safety administered to patients with bloodstream infections and whether telavancin is effective in treating these infections.",Gram-Positive Bacterial Infections,No,1096.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,60.0,2,elderly-adults,17.0
Completed,"Background: A progressive decrease in Helicobacter pylori eradication rates has been described over the years, so new combinations of antibiotics for treatment are needed.||Aim: To evaluate the efficacy and safety of the addition of rifaximin to standard triple therapy (omeprazole, amoxicillin and clarithromycin) for the eradication of H. pylori.||Methods: Independent prospective pilot clinical trial (EUDRA CT: 2013-001080-23). Forty consecutive adult patients were included with H. pylori infection, dyspeptic symptoms and naive to eradication treatment. A full blood test was performed in the first 5 patients included to evaluate the safety of the treatment. H. pylori eradication was confirmed with urea breath test at least 4 weeks after the end of treatment. Treatment: Rifaximin 400 mg/8 h, clarithromycin 500 mg/12 h, amoxicillin 1 g/12 h, and omeprazole 20 mg/12 h for 10 days.",Bacterial Infection Due to Helicobacter Pylori (H. Pylori),No,485.0,Drug,Phase 3,All,Treatment,Single Group Assignment,Spain,SingleArmNA,40.0,1,elderly-adults,0.0
Completed,RATIONALE: Giving antibiotics may be effective in preventing or controlling early infection in patients with multiple myeloma and may improve their response to chemotherapy.||PURPOSE: This randomized clinical trial is studying antibiotics to see how well they work compared to no antibiotics in preventing early infection in patients with multiple myeloma.,Infection|Multiple Myeloma,No,5419.0,Drug,Phase 3,All,Supportive Care,Parallel Assignment,"Peru,United States,South Africa",Randomized,212.0,3,elderly-adults,3.0
Completed,The purpose of this study is to determine whether Kedrion IVIG 10% (an immunoglobulin solution) is effective in treating Primary Immunodeficiency (PID).,Primary Immunodeficiency|Agammaglobulinemia|Hypogammaglobulinemia|Antibody Deficiency,No,653.0,Biological,Phase 3,All,Treatment,Single Group Assignment,"United States,Canada",SingleArmNA,45.0,1,allAges,4.0
Completed,"This study will determine whether participants who receive V419 (PR5I) at 2, 4, and 11 to 12 months of age have an acceptable response to the vaccine. This study will also determine whether the immune response to V419 is similar to that of participants who received a licensed vaccine control. The primary hypothesis is that participants who receive PR5I at 2, 4, and 11 to 12 months have an acceptable response rate to all PR5I-contained antigens at one month after the Toddler dose of PR5I.",Bacterial Infections|Virus Diseases,Accept,686.0,Biological,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,1315.0,4,infants,16.0
Completed,"This study will determine whether participants who receive the vaccine V419 at 2, 3, 4, and 12 months of age have an acceptable immune response to the vaccine. The study will also determine whether the immune response to V419 is similar to that of participants who receive a licensed vaccine control.",Bacterial Infections|Virus Diseases,Accept,657.0,Biological,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,1250.0,5,infants,45.0
Completed,This study will determine whether three manufacturing lots of V419 (PR5I) induce similar immune responses to all of the antigens contained in V419 when given concomitantly with Prevnar13™ and RotaTeq™.,Bacterial Infections|Virus Diseases,Accept,808.0,Biological,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,2808.0,5,infants,109.0
Completed,"This is a study to assess the safety, tolerability, and immunogenicity of V419 (PR5I) when administered as an infant series at 2, 4, and 6 months of age followed by a toddler dose of DAPTACEL™, Prevnar 13™ and PedvaxHIB™ at 15 months of age. The study will determine whether subjects who receive V419 have a similar immune response to the vaccine compared to subjects who receive licensed component vaccine controls.",Bacterial Infections|Virus Diseases,Accept,751.0,Biological,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,1473.0,8,infants,90.0
Completed,"This is a randomized, double-blind, double dummy, multicenter Phase 3 study of oral TR-701 FA 200 mg once daily for 6 days versus oral Zyvox® (linezolid) 600 mg every 12 hours for 10 days for the treatment of ABSSSI in adults.||Approximately 75 to 100 sites globally will participate in this study. Patients with an ABSSSI caused by suspected or documented gram positive pathogen(s) at baseline will be randomized 1:1 to study treatment",Skin and Subcutaneous Tissue Bacterial Infections,No,411.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Peru,Slovakia,Brazil,Ukraine,Latvia,Czechia,Germany,United States,Canada,Hungary,Argentina",Randomized,667.0,2,elderly-adults,9.0
Terminated,"Bacterial vaginosis (BV) is a common vaginal infection characterized by a pathologic shift in the normal vaginal flora. BV has been associated with a number of poor reproductive outcomes, including infertility, preterm labor and premature rupture of membranes. If BV does disrupt normal embryologic development, then the treatment of BV prior to conception may improve implantation rates and other pregnancy outcomes in the infertile population.||This is a prospective, randomized, double-blind, placebo-controlled trial in which infertile women undergoing intrauterine insemination or embryo transfer are screened for BV prior to treatment. Those patients who screen positive for BV will then be randomized into the treatment arm(metronidazole 500mg by mouth twice daily for 7 days) or the control arm (placebo by mouth twice daily for 7 days). The primary outcome, positive pregnancy test rate (i.e. biochemical pregnancy rate), will then be assessed. Secondary outcomes, such as clinical pregnancy rate, miscarriage rate, and live birth rate will also be examined.","Vaginosis, Bacterial|Infertility|Miscarriage",Accept,486.0,Drug,Not Applicable,Female,Treatment,Parallel Assignment,United States,Randomized,2.0,2,elderly-adults,0.0
Completed,This study aims to evaluate an endodontic treatment protocol using adjunctive steps for disinfection of teeth with primary endodontic infections.,Periapical Periodontitis|Bacterial Infections,No,1029.0,Procedure,Not Applicable,All,Treatment,Single Group Assignment,Brazil,Non-Randomized,45.0,2,elderly-adults,0.0
Completed,The purpose of this study is to evaluate the effects of Delafloxacin versus Vancomycin plus Aztreonam in the treatment of patients with acute bacterial skin and soft tissue infections.,Skin and Subcutaneous Tissue Bacterial Infections|Skin Structures and Soft Tissue Infections,No,610.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Chile,Peru,Slovakia,Brazil,Latvia,Korea, Republic of,Georgia,Mexico,Estonia,Taiwan,Romania,Moldova, Republic of,United States,Argentina,Hungary,Bulgaria",Randomized,850.0,3,elderly-adults,35.0
Completed,The purpose of this study is to evaluate the safety and efficacy of omadacycline as compared to linezolid in the treatment of adults with acute bacterial skin and skin structure infections.,Bacterial Infections|Skin Structures and Soft Tissue Infections,No,309.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,735.0,2,elderly-adults,11.0
Completed,The purpose of this study is to evaluate the safety and efficacy of omadacycline as compared to linezolid in the treatment of adults with acute bacterial skin and skin structure infections.,Bacterial Infections|Skin Structures and Soft Tissue Infections,No,335.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Peru,Israel,Ukraine,Latvia,Greece,Poland,Romania,United States,Croatia,Spain,Hungary,South Africa,Turkey,Bulgaria",Randomized,655.0,2,elderly-adults,23.0
Terminated,This is a clinical study organized to collect clinical data to better define the activity of some antimicrobials already marketed in Italy and in the rest of the world for the treatment of acute bacterial rhinosinusitis,Sinusitis|Bacterial Infections,No,699.0,Drug,Phase 4,All,Treatment,Parallel Assignment,Italy,Randomized,293.0,2,elderly-adults,2.0
Completed,"The purpose of the study is to develop a subcutaneous treatment option for participants with Primary Immunodeficiency Diseases (PID) that allows an administration of Immune Globulin Intravenous (Human), 10% at the same frequency as IV administration.",Primary Immunodeficiency Diseases (PID),No,693.0,Biological,Phase 3,All,Treatment,Parallel Assignment,"United States,Canada",Non-Randomized,89.0,2,allAges,15.0
Completed,"The purpose of this study is to assess the effect of a new critical pathway (use of guideline-based patient identification criteria and for those who meet these criteria, use of dalbavancin) compared to usual care for the treatment of ABSSI (Acute Bacterial Skin and Skin Structure Infections)",Bacterial Infections|Acute Bacterial Skin and Skin Structure Infection,No,463.0,Drug,Phase 4,All,Treatment,Parallel Assignment,United States,Non-Randomized,91.0,2,elderly-adults,4.0
Completed,"Clinical phase 3 study to evaluate the efficacy, tolerability and safety of subcutaneous human immunoglobulin (octanorm) in patients with primary immunodeficiency diseases.",Primary Immune Deficiency Disorder,No,325.0,Biological,Phase 3,All,Treatment,Single Group Assignment,Russian Federation,SingleArmNA,25.0,1,elderly-adults,0.0
Completed,The purpose of this study is to determine whether the Seraph® 100 Microbind® Affinity Blood Filter (Seraph 100) is safe in the treatment of dialysis patients with bacteremia.,Bacteremia|Bacterial Infection,No,857.0,Device,Not Applicable,All,Treatment,Single Group Assignment,Germany,SingleArmNA,15.0,1,elderly-adults,0.0
Completed,"This is a randomised, double-blind, 3-part study designed to investigate the safety and tolerability of ATM-AVI. The study aims to characterise the pharmacokinetics of ATM-AVI, when both drugs are administered alone (ATM or AVI) and in combination (ATM-AVI), following single administration, and following multiple administrations of ATM-AVI in healthy male and female (females of nonchildbearing potential) volunteers both young and elderly.",Complicated Infection|Bacterial Infections,Accept,821.0,Drug,Phase 1,All,Basic Science,Parallel Assignment,United Kingdom,Randomized,222.0,4,elderly-adults,1.0
Completed,"This is a Phase II, multi-center, randomized, double-blind study comparing the safety and efficacy of two doses of BC-3781 versus vancomycin in patients with acute bacterial skin and skin structure infection.",Bacterial Infections|Infection,No,278.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,210.0,3,elderly-adults,5.0
Completed,"The purpose of this study is to:||Study the pharmacokinetics and safety of daptomycin in children on hemodialysis (HD) and peritoneal dialysis (PD).|Determine urine, HD and PD clearance of daptomycin.",Chronic Kidney Disease|Bacterial Infection,No,1612.0,Drug,Not Applicable,All,Other,Single Group Assignment,United States,SingleArmNA,6.0,1,childTeen,0.0
Completed,"Evaluation of the clinical and microbial efficacy of 0.6% ISV-403, compared to vehicle in the treatment of bacterial conjunctivitis.",Acute Bacterial Conjunctivitis,No,518.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,957.0,2,allAges,2.0
Completed,"This is a Phase III, multicenter, open-label study of RI-002 administered as an intravenous infusion of RI-002 (IGIV) every 21 or 28 days in approximately 60 subjects with Primary Immunodeficiency Diseases (PIDD).",Primary Immune Deficiency Disorder,No,334.0,Biological,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,59.0,1,allAges,2.0
Terminated,This study will treat hemodialysis patients who have a central catheter that is thought to be infected with a specific bacteria (Gram positive bacteria).,Bacteremia|Gram-Positive Bacterial Infections,No,365.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Slovakia,Israel,India,Poland,Italy,United States,Colombia",Randomized,61.0,3,elderly-adults,10.0
Completed,The purpose of this study is to develop a 20% subcutaneous (SC) immunoglobulin preparation for the treatment of patients with primary immunodeficiency diseases (PIDD).,Primary Immunodeficiency Diseases (PID),No,774.0,"Biological,Drug",Phase 2|Phase 3,All,Treatment,Single Group Assignment,"United States,Canada",SingleArmNA,86.0,2,allAges,3.0
Completed,The main objective is to determine the efficacy of Gammaplex by measuring the number of serious acute bacterial infections during treatment with Gammaplex over a 12 month period. The secondary objectives are to assess the safety and tolerability of Gammaplex and to compare the data collected from adult subjects with PID from the GMX01 study,Primary Immune Deficiency Disorders|Common Variable Immunodeficiency|X-linked Agammaglobulinemia|Hyper-IgM Syndrome|Wiskott-Aldrich Syndrome,No,1127.0,Biological,Phase 4,All,Prevention,Single Group Assignment,"Chile,United States,Israel",SingleArmNA,25.0,1,childTeen-infants,3.0
Completed,Aim of the study is to verify whether Polymyxin-B hemoperfusion protects from renal dysfunction in patients with severe sepsis from gram negative infection.,Gram-Negative Bacterial Infections|Sepsis,No,579.0,Device,Phase 3,All,Prevention,Parallel Assignment,Italy,Randomized,16.0,1,elderly-adults,0.0
Completed,The purpose of this study is to determine whether a long-term use of a new human immunoglobulin G with proline (IgPro) is safe and effective in the treatment of primary immunodeficiency.,Primary Immune Deficiency,No,730.0,Biological,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,21.0,1,allAges,4.0
Completed,"This study is designed to assess the immunogenicity and safety of typhoid Vi polysaccharide vaccine in Japanese participants to support registration of the product in Japan.||Primary Objective:||To describe the seroconversion rate (percentage of subjects with at least a 4-fold increase of their Vi antibody titer) between Day 0 before vaccination and Day 28 after vaccination with typhoid Vi polysaccharide (SP093) vaccine in subjects aged 2 years and above.||Secondary Objectives:||To describe the safety profile of a single dose of typhoid Vi polysaccharide vaccine up to 28 days after vaccination, in subjects aged 2 years and above.|To describe the immune response following a single dose of typhoid Vi polysaccharide vaccine in subjects aged 2 years and above.",Salmonella Infections|Typhoid Fever|Bacterial Infections,Accept,214.0,Biological,Phase 3,All,Prevention,Single Group Assignment,Japan,SingleArmNA,200.0,1,allAges,1.0
Completed,The purpose of this study is to determine whether contezolid acefosamil is as safe and effective as linezolid in the treatment of adult patients with acute bacterial skin and skin structure infections,"Skin Diseases, Bacterial|Gram-Positive Bacterial Infections",No,131.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,196.0,2,elderly-adults,6.0
Completed,This is a prospective study of Veterans with chronic lower extremity or diabetic foot ulcers who will be randomized to either a Larval Debridement Therapy group (Biobags every 4 days x 2 applications) or a Sharp Debridement Therapy group (standard or control weekly x 2) during an 8 day study period.,Lower Extremity or Diabetic Foot Ulcers|Bacterial Infection,No,1178.0,"Device,Procedure",Not Applicable,All,Treatment,Parallel Assignment,United States,Randomized,45.0,2,elderly-adults,2.0
Completed,Primary: To determine the serum pharmacokinetics (PK) of doripenem in febrile neutropenic patients.||Secondary: Monte Carlo Simulations Tested Against Various Gram-negative Isolates and Reported as Probability of Target Attainment (40% Time (fT)> minimum inhibitory concentration (MIC)),Febrile Neutropenia,No,549.0,Drug,Phase 4,All,Treatment,Single Group Assignment,United States,Randomized,12.0,2,elderly-adults,0.0
Completed,"The purpose of this study was to assess the pharmacokinetics, safety, and tolerability of a single intravenous dose of ceftolozane/tazobactam (MK-7625A) in pediatric participants. In each of the 6 age cohorts, an interim analysis of pharmacokinetics (PK) and safety data was conducted after approximately 3 participants had received the initially proposed dose. The interim analysis was to determine whether the initial dose was appropriate based on pre-defined criteria. If data from the interim analysis demonstrated that the initially proposed dose met the above criteria, enrollment was to continue with the same dose administered to approximately 3 additional participants of the same age range. However, if the interim analysis demonstrated that a new optimized dose was required, the new dose was to be administered to approximately 3 additional participants of the same age range.",Proven or Suspected Gram-negative Bacterial Infection|Peri-operative Prophylaxis,No,1002.0,Drug,Phase 1,All,Treatment,Parallel Assignment,United States,Non-Randomized,43.0,5,childTeen-infants,3.0
Completed,To evaluate the immune response and the safety of a primary series schedule that includes V419 (PR5I) at 2 and 6 months of age and Pediacel at 4 months of age||Primary objectives||To demonstrate that the mixed schedule induces acceptable responses for Hepatitis B (HB) one month after completion of the mixed schedule|To demonstrate that the mixed schedule induces acceptable responses for Haemophilus influenzae type b (Hib) one month after completion of the mixed schedule||Secondary objectives||To describe the antibody response to all PR5I antigens one month after completion of the mixed schedule|To describe the antibody response to meningococcal serogroup C (MCC) conjugate vaccine one month after the second dose of MenC vaccine|To describe the safety profile after each dose of study vaccines administered,Neisseria Meningitidis|Bacterial Infections|Virus Diseases,Accept,322.0,Biological,Phase 3,All,Prevention,Single Group Assignment,United States,SingleArmNA,385.0,5,infants,12.0
Completed,The primary objectives of this study are to evaluate the immunogenicity and safety of concomitant administration of V419 (PR51) with 2 types of meningococcal serogroup C conjugate (MCC) vaccines to healthy infants at 3 and 4 months of age in terms of antibody seroprotection rate (SPR) to MCC. Participants also received a Haemophilus influenza type B (Hib)-MCC vaccination at 12 months of age. It was hypothesized that the SPR to MCC at 1 month post-dose 2 of either tetanus toxoid conjugated Meningo C (MCC-TT) or CRM197 conjugated Meningo C (MCC-CRM) vaccines would be acceptable when administered concomitantly with V419.,Neisseria Meningitidis|Bacterial Infections|Virus Diseases,Accept,546.0,Biological,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,284.0,6,infants,10.0
Completed,"The study investigated the immune response induced by the Group B streptococcus vaccine in healthy pregnant women. In addition, the study investigated the amount of vaccine induced antibodies which were transferred to the newborn.",Streptococcal Infection|Gram-positive Bacterial Infection|Bacterial Infection,Accept,761.0,Biological,Phase 2,Female,Prevention,Parallel Assignment,"Canada,Belgium",Randomized,86.0,2,adults,38.0
Completed,The study compared the magnitude of the antibody response and safety of a GBS Trivalent Vaccine in HIV positive and HIV negative pregnant women and their offspring. In addition the study investigated the maternal to fetal transfer of antibodies induced by the investigational vaccine.,Streptococcal Infections|Gram-Positive Bacterial Infections|Bacterial Infections,No,457.0,Biological,Phase 2,Female,Prevention,Parallel Assignment,"South Africa,Malawi",Non-Randomized,270.0,1,adults,262.0
Completed,"caries-free (CF) individuals caries-active (CA) individuals (DMFT ≥ 6) will be recruited. Subjects will be instructed to brush their teeth twice daily for 3 min using Colgate® Sensitive Pro-Relief® toothpaste (containing 8% arginine and 1450 ppm NaF) for 2 weeks. Supra- and subgingival plaque, saliva, and in situ plaque samples will be collected before and after the treatment for laboratory analyses.",Dental Caries|Oral Bacterial Infection|Microbiota,Accept,669.0,Other,Not Applicable,All,Treatment,Parallel Assignment,United States,Non-Randomized,42.0,1,allAges,0.0
Completed,This is an open-label phase III study with a 12-week wash-in/wash-out period followed by a 12-month efficacy period. The main goals of the study are to assess the efficacy of octanorm in preventing serious bacterial infections (SBI) compared with historical control data and to evaluate the pharmacokinetic (PK) characteristics of octanorm.,Primary Immune Deficiency Disorder,No,2292.0,Biological,Phase 3,All,Treatment,Single Group Assignment,"Slovakia,Czechia,Poland,Russian Federation,United States,Canada,Hungary",SingleArmNA,75.0,1,allAges,9.0
