"APIVrs: 1.01.03"
"DataVrs: 2021:10:13 22:57:14.023"
"Expression: bacterial infection"
"NStudiesAvail: 392193"
"NStudiesFound: 7653"
"MinRank: 2001"
"MaxRank: 3000"
"NStudiesReturned: 1000"
"Field Names: OverallStatus,BriefSummary,Condition,HealthyVolunteers,StudyType,StartDate,CompletionDate,InterventionName,InterventionType,Phase,Gender,MaximumAge,MinimumAge,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,EventGroupDeathsNumAffected,EventGroupSeriousNumAffected"

"Rank","OverallStatus","BriefSummary","Condition","HealthyVolunteers","StudyType","StartDate","CompletionDate","InterventionName","InterventionType","Phase","Gender","MaximumAge","MinimumAge","DesignPrimaryPurpose","DesignInterventionModel","LocationCountry","DesignAllocation","EnrollmentCount","EventGroupDeathsNumAffected","EventGroupSeriousNumAffected"
2011,"Recruiting","Study to evaluate the safety of ridinilazole in adolescent subjects and how ridinilazole is metabolized.","Clostridioides Difficile Infection","No","Interventional","May 19, 2021","December 2023","Ridinilazole|Vancomycin","Drug|Drug","Phase 3","All","17 Years","12 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States","Randomized","40",,
2012,"Completed","Positive results of bacterial culture are analyzed comprehensively in Shengjing Hospital of China Medical University in recent 3 years（between 2015- 2017）","Infectious Diseases in Pneumonia,Nephropyelitis,Angiocholitis or Others|Positive Bacterial Cultures Results of the Medical Records","No","Observational","October 25, 2017","October 31, 2019","descriptive study which reviewed the data of patients hospitalized with positive bacterial cultures","Other",,"All",,,,,"China",,"1889",,
2013,"Completed","Vabomere™, (meropenem-vaborbactam) is being compared to the Best Available Therapy in the treatment of adults with selected serious infections due to Carbapenem Resistant Enterobacteriaceae","Urinary Tract Infection Complicated|Acute Pyelonephritis|Hospital Acquired Bacterial Pneumonia|Ventilator-associated Bacterial Pneumonia|Bacteremia|Abdominal Infection","No","Interventional","July 2014","July 21, 2017","Vabomere|Best Available Therapy","Drug|Drug","Phase 3","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Argentina|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Colombia|Colombia|Colombia|Greece|Greece|Greece|Greece|Israel|Israel|Israel|Israel|Italy|Italy|Italy|Italy|Italy|Italy|United Kingdom|United Kingdom","Randomized","77","10|6","17|11"
2014,"Completed","Retrospective data in children with dengue hemorrhagic fever (DHF) and dengue shock syndrome (DSS), and in adults with dengue fever (DF), suggested a lack of benefit from prophylactic platelet transfusion for severe thrombocytopenia in dengue patients without bleeding. However, in Taiwan and Singapore, platelet transfusion was given to 13-50% of hospitalised dengue patients. This is a prospective randomised study to examine the safety and efficacy of prophylactic platelet transfusion in adults with dengue and severe thrombocytopenia without bleeding.||The hypotheses are:||Prophylactic platelet transfusion is safe in hospitalised dengue patients with severe thrombocytopenia.|Prophylactic platelet transfusion is effective in preventing bleeding in hospitalised dengue patients with severe thrombocytopenia.","Dengue Fever","No","Interventional","January 2010","December 2014","Platelet transfusion|Supportive care","Procedure|Other","Not Applicable","All",,"21 Years","Prevention","Parallel Assignment","Malaysia|Singapore","Randomized","372",,
2015,"Completed","To collect retrospectively the efficacy and safety information of azithromycin IV on patients with Legionnaires' disease related to their appropriate use in daily practice.","Legionnaires' Disease|Legionella Pneumophila Infections","No","Observational","March 27, 2013","July 29, 2016","Azithromycin IV","Drug",,"All",,,,,,,"21",,"1"
2016,"Completed","The purpose of this study is to determine whether a vaccine based on outer membrane vesicles (NOMV) from genetically detoxified group B meningococcus is safe and effective for use as a vaccine. If so, the NOMV in this vaccine will be combined with NOMV from two other genetically modified strains as a potentially globally effective vaccine against group B meningococcus.","Meningococcal Infection, Group B","Accepts Healthy Volunteers","Interventional","April 2008","August 2009","10 μg Group B Meningococcal 8570 HOPS-G NOMV Vaccine|25 μg Group B Meningococcal 8570 HOPS-G NOMV Vaccine|50 μg Group B Meningococcal 8570 HOPS-G NOMV Vaccine|75 μg Group B Meningococcal 8570 HOPS-G NOMV Vaccine","Biological|Biological|Biological|Biological","Phase 1","All","45 Years","18 Years","Prevention","Single Group Assignment","United States","Non-Randomized","36",,"0|0|0|0"
2017,"Terminated","Most genital infections by human papillomaviruses (HPV) are asymptomatic or benign and clear within a few months or years. There infections are much less studies than chronic infections, even though they represent the main reservoir for the virus. The goal of this project is to decipher the kinetics of the virus and of the host immune response in acute HPV genital infections in your women. This will be performed by following women longitudinally and regularly in order to measure variations in virus load, immune cell count, cytokine concentration and antibody titers. The investigators will also investigate the interaction between these kinetics and host genetics and host vaginal microbiota","HPV Genital Infection (Primary Condition Studied)|Bacterial Vaginosis|Chlamydiae Infection","Accepts Healthy Volunteers","Interventional","November 11, 2016","September 29, 2020","vaginal sampling","Other","Not Applicable","Female","25 Years","18 Years","Basic Science","Single Group Assignment","France","N/A","190",,
2018,"Completed","The purpose of this study is to determine if mupirocin 2% in polyethylene glycol (PEG) ointment [Treatment Arm] is effective in preventing moderate to severe re-infection with Staphylococcus aureus compared with treatment with polyethylene glycol (PEG) ointment [Placebo Arm].","Staphylococcal Infections","No","Interventional","April 2005","August 2012","Mupirocin Ointment [Treatment]|Polyethylene Glycol Ointment [Placebo]","Drug|Drug","Phase 4","All",,"18 Years","Prevention","Parallel Assignment","United States","Randomized","146",,"1|2"
2019,"Recruiting","The trial is designed as a phase III, double-blind, multicenter, randomized, single administration, active-controlled, parallel-group design with two groups of newborn infants receiving either VPM1002 or BCG SII (1:1 allocation) to assess the efficacy, safety and immunogenicity of VPM1002 against Mtb infection.","Mycobacterium Tuberculosis Infection","Accepts Healthy Volunteers","Interventional","November 9, 2020","November 30, 2025","VPM1002|BCG SII","Biological|Biological","Phase 3","All","14 Days",,"Prevention","Parallel Assignment","Gabon|Kenya|Kenya|South Africa|South Africa|South Africa|South Africa|South Africa|Tanzania|Uganda|Uganda","Randomized","6940",,
2020,"Terminated","This trial will determine the feasibility and efficacy of lenalidomide as maintenance therapy in Multiple Myeloma patients treated with dose intensive chemotherapy (Melphalan 200 mg/m2) with autologous PBSC transplant.","Multiple Myeloma","No","Interventional","April 2012",,"Melphalan|Lenalidomide","Drug|Drug","Phase 2","All","75 Years","18 Years","Treatment","Single Group Assignment","United States","N/A","1",,
2021,"Completed","The main objective of the study is to characterize the virulence factors of SGA and identify immunological and / or genetic factors predisposing to infections in children hospitalized with invasive GAS infection.","Invasive GAS Infection","No","Observational","February 10, 2014","July 20, 2018","DNA samples, GAS strains","Genetic",,"All","15 Years","1 Month",,,"France",,"223",,
2022,"Completed","The primary object is to compare the early clinical efficacy (after 48-72 hours of therapy) of dalbavancin to the comparator regimen (vancomycin with the option to switch to oral linezolid) for the treatment of patients with a suspected or proven gram-positive bacterial skin or skin structure infection.","Abscess|Wound Infection|Surgical Site Infection|Cellulitis","No","Interventional","March 2011","November 2012","Dalbavancin|Vancomycin / Linezolid","Drug|Drug","Phase 3","All","85 Years","18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Croatia|Croatia|Croatia|Croatia|Georgia|Germany|Germany|Poland|Poland|Poland|Poland|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine","Randomized","573",,"5|12"
2023,"Active, not recruiting","To assess potential benefits associated with both intermittent (use for 3 weeks, remove for 1 week, as defined in the package insert) and continuous (use for 4 weeks, then replace) CVR use among women either with BV or at high risk for BV. The investigators will also recruit women who are HSV2-infected.","Bacterial Vaginosis","Accepts Healthy Volunteers","Interventional","March 2016","July 2020","NuvaRing","Drug","Phase 4","Female","40 Years","18 Years","Prevention","Parallel Assignment","United States","Non-Randomized","120",,
2024,"Completed","Patients with infections caused by carbapenem-resistant enterobacteria treated with CAZ-AVI versus patients treated with BAT are compared. The BAT group includes fosfomycin, tigecycline, gentamicin, meropenem and colistin.","Carbapenem-Resistant Enterobacteriaceae Infection","No","Observational","October 1, 2019","May 5, 2021","Ceftazidime-Avibactam|Best Available Therapy","Drug|Drug",,"All",,"18 Years",,,"Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain",,"348",,
2025,"Completed","Treatment of adults with chronic Mycobacterium avium-intracellulare complex lung infections who have failed or are intolerant of rifampin.||Rifabutin may be a reasonable alternative agent in patients who fail rifampin or or intolerant of rifampin.","Nontuberculous Mycobacterial Infections","No","Interventional","June 1984","May 18, 2017","Rifabutin","Drug","Phase 3","All",,"18 Years","Treatment","Single Group Assignment","United States","N/A","170",,
2026,"Completed","The primary object is to compare the early clinical efficacy (after 48-72 hours of therapy) of dalbavancin to the comparator regimen (vancomycin with the option to switch to oral linezolid) for the treatment of patients with a suspected or proved gram-positive bacterial skin or skin structure infections.","Abscess|Wound Infection|Surgical Site Infection|Cellulitis","No","Interventional","July 2011","December 2012","IV Dalbavancin|Vancomycin/Linezolid","Drug|Drug","Phase 3","All","85 Years","18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Bulgaria|Estonia|Estonia|Estonia|Estonia|Estonia|Hungary|Hungary|Hungary|Hungary|Hungary|Hungary|Hungary|Israel|Israel|Israel|Israel|Israel|Israel|Israel|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Korea, Republic of|Latvia|Latvia|Latvia|Latvia|Latvia|Latvia|Lithuania|Lithuania|Lithuania|Lithuania|Lithuania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Romania|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Slovakia|Slovakia|Slovakia|Slovakia|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|Taiwan|Taiwan|Taiwan|Taiwan|Taiwan|Taiwan|Taiwan|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine","Randomized","739",,"12|14"
2027,"Active, not recruiting","The purpose of this study is to compare visual acuity outcomes of two types of endothelial keratoplasty: 1) Ultrathin Descemet's Stripping Endothelial Keratoplasty (DSAEK) or 2) Descemet's Membrane Endothelial Keratoplasty (DMEK). Half of the participants will be randomized to have DSAEK and the other half will have DMEK.","Keratoplasty|Grafting, Corneal|Transplantation, Corneal|Transplantation, Cornea|Keratoplasty, Lamellar","No","Interventional","January 22, 2015","May 30, 2023","DSAEK|DMEK|Endoserter|Prednisolone|Ofloxacin|Tropicamide|Phenylephrine|Jones Tube","Procedure|Procedure|Device|Drug|Drug|Drug|Drug|Device","Phase 4","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States","Randomized","38","0|0","0|0"
2028,"Completed","To compare the efficacy of treatment with a single dose of dalbavancin 1500 mg to treatment with a two dose regimen of dalbavancin (1000 mg on Day 1 followed by 500 mg on Day 8) in participants with known or suspected Gram-positive acute bacterial skin and skin structure infections (ABSSSI) at 48 -72 hours after initiation of treatment.","Abscess|Wound Infection|Surgical Site Infection|Cellulitis","No","Interventional","April 18, 2014","March 11, 2015","Dalbavancin|Dalbavancin-matching Placebo","Drug|Drug","Phase 3","All","85 Years","18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Bulgaria|Bulgaria|Bulgaria|Croatia|Croatia|Estonia|Estonia|Estonia|Georgia|Georgia|Georgia|Georgia|Hungary|Hungary|Hungary|Hungary|Latvia|Latvia|Latvia|Latvia|Latvia|Romania|Romania|Romania|Romania|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Serbia|Serbia|Serbia|Serbia|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|South Africa|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine","Randomized","698","1|1","7|5"
2029,"Completed","The current standard of care for urogenital infections in Rwanda is syndromic management. Many urogenital infections are asymptomatic and therefore completely missed, and the management of vaginal discharge syndrome is known to be suboptimal. The primary objective of this study is to evaluate whether it is feasible to improve urogenital infection care in high risk women in Kigali, Rwanda, using point of care (POC) diagnostic testing for HIV, Trichomonas vaginalis (TV), and bacterial vaginosis (BV) in all women; POC testing for Neisseria gonorrhoeae (NG), Chlamydia trachomatis (CT), and syphilis in pregnant women and women assessed to be at high risk for these infections using a risk scoring questionnaire; and management of vaginal candidiasis, urinary tract infection (UTI), genital ulcers/inguinal bubos, and lower abdominal pain in women reporting relevant symptoms. The secondary objectives of this study are 1) to evaluate the performance and 2) to obtain the opinions of Rwandan stakeholders.","Sexually Transmitted Disease|Bacterial Vaginosis|Vaginal Candidiasis|Urinary Tract Infections","Accepts Healthy Volunteers","Observational","July 5, 2016","August 6, 2018","Urogenital infection point-of-care tests","Diagnostic Test",,"Female",,"18 Years",,,"Rwanda",,"705","0","0"
2030,"Completed","This trial was designed to assess safety and preliminary efficacy of oral doses of iOWH032 on diarrhea output and clinical symptoms after a cholera challenge in healthy adult participants.","Cholera","Accepts Healthy Volunteers","Interventional","November 4, 2019","July 27, 2020","iOWH032|Placebo|V. cholerae Challenge|Antibiotics","Drug|Drug|Other|Drug","Phase 2","All","44 Years","18 Years","Treatment","Parallel Assignment","United States","Randomized","47","0|0","0|1"
2031,"Recruiting","A) Comparing the % of change in each clearances of pro-, and anti-inflammatory mediators (cytokine, chemokines and complement) in the COVID-19 patients treated with CytoSorb as compared to the same patient population who do not receive blood purification treatment.||B) Testing the Cytokinetic model by measuring cytokines in the blood stream and in the BAL to see if you can create a reverse gradient allowing a massive passage of leucocyte from the blood toward the infected lungs.","Covid19","No","Interventional","May 3, 2020","December 1, 2020","CytoSorb","Device","Not Applicable","All","80 Years","18 Years","Treatment","Parallel Assignment","Belgium","Randomized","24",,
2032,"Completed","The purpose of this research study is to evaluate the safety and effectiveness of a new oral antibiotic called SMT19969 in treating C. difficile Infection (CDI).","Clostridium Difficile Infection","No","Interventional","April 2014","October 2015","SMT19969|Vancomycin","Drug|Drug","Phase 2","All","90 Years","18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada","Randomized","100",,
2033,"Terminated","Cadazolid has demonstrated activity against a bacteria named Clostridium difficile in animal studies. The results of a first study conducted in adult patients have suggested efficacy of the new antibiotic, cadazolid, in the treatment of diarrhea caused by this bacteria. This is the first study of cadazolid in children. The overall purpose of this study is to provide reassurance on the safety and efficacy of cadazolid in children suffering from infection due to Clostridium difficile.","Clostridium Difficile Infection","No","Interventional","April 14, 2017","April 17, 2018","Cadazolid|Vancomycin capsule|Vancomycin solution","Drug|Drug|Drug","Phase 2|Phase 3","All","18 Years",,"Treatment","Parallel Assignment","United States|United States|United States|United States|United States|Belgium|Canada|Czechia|Hungary|Hungary|Italy|Italy|Poland|Poland|Poland|Poland|Romania|Romania|Spain|Spain","Randomized","1","0","0"
2034,"Completed","Primary||- To evaluate the efficacy of Pulmonaron in the decrease of interleukin-4/interferon gamma after second period of treatment||Secondary||To evaluate the efficacy of Pulmonarom in the prevention of upper respiratory tract infections symptoms through patient evaluation of fever or respiratory presence after second period of treatment|To evaluate loss of working or study days after second period of treatment|To evaluate the safety and tolerability of Pulmonarom in the population under study","Respiratory Tract Infections","No","Interventional","December 2007","September 2008","Bacterial Lysates|placebo","Drug|Drug","Phase 4","All","6 Years","6 Months","Treatment","Parallel Assignment","Mexico","Randomized","80",,
2035,"Completed","To determine if linezolid is superior to vancomycin in the treatment of complicated skin and soft tissue infections due to MRSA in adult subjects","Skin/Soft Tissue Infections|Methicillin Resistant Staphylococcus Aureus (MRSA)","No","Interventional","October 2004","July 2007","linezolid|vancomycin","Drug|Drug","Phase 4","All",,"18 Years","Treatment","Parallel Assignment","United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Argentina|Belgium|Belgium|Belgium|Brazil|Brazil|Chile|Chile|Colombia|Colombia|Colombia|Italy|Italy|Italy|Italy|Italy|Italy|Malaysia|Malaysia|Mexico|Mexico|Mexico|Portugal|Portugal|Portugal|Portugal|Portugal|Russian Federation|Russian Federation|Russian Federation|Singapore|South Africa|South Africa|South Africa|South Africa|South Africa|Spain|Spain|Spain|United Kingdom|United Kingdom|United Kingdom|Venezuela|Venezuela|Venezuela|Venezuela|Venezuela","Randomized","1077",,"31|32"
2036,"Completed","606 participants with Clostridium Difficile Associated Diarrhea (CDAD) participated in this study and received either oral vancomycin or CB-183,315 (surotomycin) in a blinded fashion. Treatment lasted for 10 days and participants were followed up for at least 40 days and a maximum of 100 days. The purpose of this study was to evaluate how well surotomycin treats CDAD as compared to vancomycin.","Clostridium Difficile Infection","No","Interventional","May 16, 2012","March 20, 2015","Surotomycin|Vancomycin|Placebo","Drug|Drug|Drug","Phase 3","All","90 Years","18 Years","Treatment","Parallel Assignment",,"Randomized","606","18|9","44|37"
2037,"Not yet recruiting","This study aims to determine whether single-dose azithromycin is effective in preventing cholera in children who are at extremely high risk of infection. The study will also determine the effect of this intervention on the development of antibiotic resistant bacteria. The results will inform future strategies to prevent cholera in children, and improve overall understanding of the impact of azithromycin on antibiotic resistance.","Cholera","Accepts Healthy Volunteers","Interventional","September 15, 2021","September 2026","Azithromycin|Placebo","Drug|Biological","Phase 2","All","15 Years","1 Year","Prevention","Parallel Assignment",,"Randomized","920",,
