OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups
Completed,No,882.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,51.0,1,allAges
Completed,No,1308.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,1050.0,3,elderly-adults
Completed,No,578.0,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,384.0,1,infants
Completed,No,577.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,960.0,1,elderly-adults
Completed,No,479.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,58.0,1,elderly-adults
Completed,No,731.0,Not Applicable,All,Health Services Research,Crossover Assignment,Randomized,19220.0,1,allAges
Completed,No,1065.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,203.0,1,elderly-adults
Completed,No,793.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,29.0,2,elderly-adults
Completed,No,917.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,122.0,2,elderly-adults
Completed,No,276.0,Phase 4,All,Health Services Research,Single Group Assignment,Non-Randomized,134.0,1,elderly-adults
Completed,No,273.0,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,500.0,1,elderly-adults
Completed,Accept,61.0,Phase 1|Phase 2,Male,Treatment,Parallel Assignment,Randomized,122.0,2,childTeen
Completed,No,1887.0,Phase 2,All,Prevention,Crossover Assignment,Randomized,11.0,2,elderly-childTeen
Completed,Accept,503.0,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,48.0,2,adults
Completed,No,426.0,Phase 1,All,Basic Science,Single Group Assignment,SingleArmNA,22.0,1,childTeen-infants
Completed,No,1703.0,Phase 1,All,Other,Parallel Assignment,Non-Randomized,51.0,2,childTeen-infants
Completed,No,973.0,Not Applicable,All,Basic Science,Parallel Assignment,Randomized,160.0,2,infants
Completed,Accept,57.0,Phase 1,All,Basic Science,Sequential Assignment,Randomized,42.0,4,adults
Completed,Accept,90.0,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Randomized,286.0,1,infants
Completed,Accept,26.0,Phase 1,All,Basic Science,Single Group Assignment,Non-Randomized,20.0,1,adults
Completed,No,479.0,Phase 1,All,Basic Science,Parallel Assignment,Non-Randomized,20.0,2,childTeen
Completed,No,669.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,50.0,1,allAges
Completed,Accept,376.0,Phase 1,All,Other,Parallel Assignment,Randomized,40.0,1,adults
Completed,Accept,212.0,Phase 1,All,Basic Science,Parallel Assignment,Randomized,84.0,2,adults
Completed,Accept,30.0,Phase 4,Male,Basic Science,Crossover Assignment,Randomized,24.0,2,adults
Completed,Accept,0.0,Phase 1,All,Treatment,Crossover Assignment,Randomized,6.0,3,adults
Completed,Accept,0.0,Phase 1,All,Treatment,Crossover Assignment,Randomized,36.0,2,adults
Completed,Accept,122.0,Phase 1,All,Basic Science,Factorial Assignment,Randomized,90.0,2,adults
Completed,Accept,90.0,Phase 1,All,Basic Science,Crossover Assignment,Randomized,49.0,7,adults
Completed,No,183.0,Phase 3,Male,Prevention,Parallel Assignment,Randomized,497.0,2,elderly-adults
Completed,Accept,153.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,376.0,2,elderly-adults
Completed,Accept,823.0,Phase 2|Phase 3,All,Prevention,Parallel Assignment,Randomized,311.0,2,childTeen
Completed,No,365.0,Not Applicable,All,Health Services Research,Parallel Assignment,Non-Randomized,779.0,1,elderly-adults
Completed,Accept,579.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,20.0,1,elderly-adults
Completed,No,760.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,30.0,1,childTeen
Completed,No,275.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,680.0,3,elderly-adults
Completed,No,273.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,698.0,2,elderly-adults
Completed,No,2313.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,252.0,2,elderly-adults
Completed,No,151.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,150.0,3,elderly-adults
Completed,No,1349.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,510.0,2,infants
Completed,No,776.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,598.0,4,elderly-adults
Completed,No,1308.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,101.0,1,elderly-adults
Completed,No,835.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,80.0,2,elderly-adults
Completed,No,489.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,330.0,6,elderly-adults
Completed,No,823.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,45.0,2,adults-infants
Completed,Accept,365.0,Not Applicable,All,Basic Science,Single Group Assignment,SingleArmNA,7.0,1,adults
Completed,No,1034.0,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,278.0,2,infants
Completed,No,820.0,Phase 3,All,Treatment,Single Group Assignment,Randomized,13.0,1,childTeen-infants
Completed,Accept,218.0,Phase 2,Female,Prevention,Parallel Assignment,Non-Randomized,80.0,1,adults
Completed,No,274.0,Phase 4,All,Diagnostic,Single Group Assignment,SingleArmNA,99.0,1,adults-infants
Completed,No,913.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,462.0,3,elderly-adults
Completed,No,456.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,660.0,4,elderly-adults
Completed,No,483.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,666.0,2,elderly-adults
Completed,Accept,610.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,756.0,5,infants
Completed,Accept,669.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,708.0,4,infants
Completed,No,580.0,Phase 4,All,Treatment,Parallel Assignment,SingleArmNA,262.0,1,elderly-adults
Completed,No,212.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,120.0,2,elderly-adults
Completed,No,1075.0,Not Applicable,Female,Health Services Research,Single Group Assignment,SingleArmNA,38.0,1,elderly-adults
Completed,No,350.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,33.0,1,childTeen-infants
Completed,No,304.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,256.0,3,elderly-adults
Completed,No,365.0,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,18.0,2,elderly-adults
Completed,No,1096.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,60.0,2,elderly-adults
Completed,No,89.0,Not Applicable,All,Health Services Research,Crossover Assignment,Non-Randomized,853.0,1,elderly-adults
Completed,Accept,184.0,Phase 1,Male,Treatment,Parallel Assignment,Randomized,40.0,2,adults
Completed,No,527.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,118.0,2,elderly-adults
Completed,No,485.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,40.0,1,elderly-adults
Completed,Accept,129.0,Phase 1,All,Treatment,Crossover Assignment,Randomized,64.0,6,adults
Completed,No,5419.0,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,212.0,3,elderly-adults
Completed,No,653.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,45.0,1,allAges
Completed,No,518.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,30000.0,2,allAges
Completed,No,601.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,47.0,1,allAges
Completed,Accept,700.0,Phase 2,All,Prevention,Single Group Assignment,Non-Randomized,325.0,1,elderly-adults
Completed,No,488.0,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,80.0,1,adults
Completed,Accept,686.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,1315.0,4,infants
Completed,Accept,657.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,1250.0,5,infants
Completed,No,609.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,174.0,1,elderly-adults
Completed,No,1009.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,47.0,1,childTeen-infants
Completed,Accept,808.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,2808.0,5,infants
Completed,Accept,751.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,1473.0,8,infants
Completed,No,1065.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,200.0,1,elderly-childTeen
Completed,No,411.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,667.0,2,elderly-adults
Completed,No,1614.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,1089.0,2,elderly-adults
Completed,No,546.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,89.0,1,allAges
Completed,No,1004.0,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,57.0,1,allAges
Completed,No,1029.0,Not Applicable,All,Treatment,Single Group Assignment,Non-Randomized,45.0,2,elderly-adults
Completed,No,610.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,850.0,3,elderly-adults
Completed,No,309.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,735.0,2,elderly-adults
Completed,No,335.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,655.0,2,elderly-adults
Completed,No,693.0,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,89.0,2,allAges
Completed,No,731.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,118.0,1,elderly-adults
Completed,No,701.0,Phase 4,All,Diagnostic,Parallel Assignment,Randomized,7263.0,3,allAges
Completed,No,463.0,Phase 4,All,Treatment,Parallel Assignment,Non-Randomized,91.0,2,elderly-adults
Completed,No,325.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,25.0,1,elderly-adults
Completed,No,857.0,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,15.0,1,elderly-adults
Completed,Accept,821.0,Phase 1,All,Basic Science,Parallel Assignment,Randomized,222.0,4,elderly-adults
Completed,No,278.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,210.0,3,elderly-adults
Completed,Accept,273.0,Phase 1,All,Treatment,Single Group Assignment,Randomized,48.0,2,adults
Completed,No,182.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,103.0,1,elderly-adults
Completed,Accept,1095.0,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,74.0,4,elderly-adults
Completed,No,396.0,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,802.0,2,allAges
Completed,No,1612.0,Not Applicable,All,Other,Single Group Assignment,SingleArmNA,6.0,1,childTeen
Completed,Accept,1277.0,Phase 4,Female,Treatment,Parallel Assignment,Randomized,132.0,2,elderly-adults
Completed,No,518.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,957.0,2,allAges
Completed,No,334.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,59.0,1,allAges
Completed,No,1275.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,81.0,1,allAges
Completed,No,774.0,Phase 2|Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,86.0,2,allAges
Completed,Accept,539.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,39.0,1,adults
Completed,No,1127.0,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,25.0,1,childTeen-infants
Completed,No,579.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,16.0,1,elderly-adults
Completed,No,730.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,319.0,2,elderly-adults
Completed,No,730.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,21.0,1,allAges
Completed,No,761.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,453.0,2,infants
Completed,Accept,214.0,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,200.0,1,allAges
Completed,No,1058.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,55.0,3,allAges
Completed,No,638.0,Not Applicable,All,Treatment,Single Group Assignment,Non-Randomized,100.0,1,elderly-childTeen
Completed,No,242.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,215.0,2,elderly-adults
Completed,No,245.0,Phase 1|Phase 2,All,Prevention,Single Group Assignment,Non-Randomized,8.0,1,elderly-adults
Completed,No,131.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,196.0,2,elderly-adults
Completed,No,1178.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,45.0,2,elderly-adults
Completed,No,518.0,Phase 4,All,Supportive Care,Parallel Assignment,Non-Randomized,80.0,4,infants
Completed,No,1279.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,16.0,1,elderly-adults
Completed,No,548.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,56.0,2,elderly-adults
Completed,No,702.0,Not Applicable,All,Treatment,Parallel Assignment,SingleArmNA,81.0,1,elderly-adults
Completed,No,549.0,Phase 4,All,Treatment,Single Group Assignment,Randomized,12.0,2,elderly-adults
Completed,No,1002.0,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,43.0,5,childTeen-infants
Completed,Accept,322.0,Phase 3,All,Prevention,Single Group Assignment,SingleArmNA,385.0,5,infants
Completed,Accept,671.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,350.0,6,infants
Completed,Accept,546.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,284.0,6,infants
Completed,Accept,761.0,Phase 2,Female,Prevention,Parallel Assignment,Randomized,86.0,2,adults
Completed,No,457.0,Phase 2,Female,Prevention,Parallel Assignment,Non-Randomized,270.0,1,adults
Completed,No,519.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,4056.0,1,allAges
Completed,Accept,89.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,60.0,2,adults
Completed,No,1187.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,739.0,4,elderly-childTeen
Completed,No,731.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,20.0,1,elderly-childTeen
Completed,No,415.0,Phase 4,All,Other,Single Group Assignment,SingleArmNA,20.0,1,elderly-adults
Completed,Accept,217.0,Not Applicable,All,Basic Science,Parallel Assignment,Randomized,4.0,1,allAges
Completed,Accept,669.0,Not Applicable,All,Treatment,Parallel Assignment,Non-Randomized,42.0,1,allAges
Completed,No,244.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,40.0,2,childTeen-infants
Completed,Accept,92.0,Not Applicable,Male,Prevention,Parallel Assignment,Randomized,60.0,2,adults
Completed,No,2292.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,75.0,1,allAges
Completed,No,881.0,Phase 4,Female,Treatment,Parallel Assignment,Randomized,494.0,2,elderly-adults
Completed,No,2339.0,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,177.0,4,adults-infants
Completed,No,2497.0,Phase 3,All,Treatment,Factorial Assignment,Randomized,2073.0,4,elderly-adults
Completed,No,850.0,Phase 1,All,Treatment,Single Group Assignment,Non-Randomized,63.0,1,infants
Completed,Accept,182.0,Not Applicable,Male,Prevention,Parallel Assignment,Randomized,40.0,2,adults
Completed,Accept,294.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,61.0,2,adults
Completed,No,1095.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,24.0,1,childTeen-infants
Completed,No,453.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,271.0,2,childTeen-infants
Completed,No,243.0,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,18.0,1,elderly-adults
Completed,No,365.0,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,42.0,1,allAges
Completed,Accept,3042.0,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,10.0,1,elderly-childTeen
Completed,No,790.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,1061.0,2,elderly-adults
Completed,No,730.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,603.0,1,elderly-adults
Completed,No,120.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,180.0,2,elderly-adults
Completed,No,1066.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,143.0,2,elderly-childTeen
Completed,No,1217.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,70.0,2,elderly-adults
Completed,No,212.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,30.0,2,elderly-adults
Completed,No,182.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,270.0,2,allAges
Completed,Accept,3287.0,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,484.0,1,elderly-childTeen
Completed,No,1078.0,Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,61.0,1,allAges
Completed,No,1579.0,Phase 1,All,Basic Science,Parallel Assignment,Non-Randomized,62.0,2,elderly-childTeen
Completed,No,395.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,1161.0,2,allAges
Completed,No,0.0,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,3000.0,1,allAges
Terminated,No,1097.0,Phase 1,All,Basic Science,Parallel Assignment,Randomized,8.0,1,infants
Terminated,No,2406.0,Phase 3,All,Supportive Care,Parallel Assignment,Randomized,240.0,2,elderly-adults
Terminated,No,1827.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,120.0,1,elderly-adults
Terminated,No,123.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,460.0,2,elderly-adults
Terminated,No,1016.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,136.0,1,elderly-adults
Terminated,No,1190.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,15.0,1,infants
Terminated,No,1278.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,193.0,1,elderly-adults
Terminated,No,403.0,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,75.0,1,elderly-adults
Terminated,Accept,486.0,Not Applicable,Female,Treatment,Parallel Assignment,Randomized,2.0,2,elderly-adults
Terminated,Accept,122.0,Phase 1,All,Treatment,Crossover Assignment,Randomized,96.0,1,adults
Terminated,No,699.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,293.0,2,elderly-adults
Terminated,No,365.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,61.0,3,elderly-adults
Terminated,No,912.0,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Randomized,140.0,1,elderly-adults
Terminated,No,335.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,11.0,1,elderly-adults
Terminated,Accept,72.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,12.0,7,elderly-adults
Terminated,No,579.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,36.0,2,elderly-adults
Terminated,Accept,371.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,9.0,1,elderly-adults
Terminated,Accept,234.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,62.0,2,adults
Terminated,No,1129.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,242.0,1,infants
Terminated,No,207.0,Not Applicable,All,Basic Science,Crossover Assignment,Randomized,13.0,2,elderly-adults
Terminated,No,1005.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,11.0,2,elderly-adults
Terminated,No,92.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,2.0,2,elderly-adults
Terminated,No,1794.0,Not Applicable,All,Treatment,Parallel Assignment,Non-Randomized,12.0,2,elderly-adults
Terminated,No,700.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,10.0,2,elderly-adults
Terminated,No,1156.0,Phase 2,Female,Treatment,Parallel Assignment,Randomized,4.0,2,adults-childTeen
Terminated,No,427.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,7.0,2,elderly-adults
Terminated,No,366.0,Not Applicable,All,Diagnostic,Crossover Assignment,Randomized,8698.0,2,infants
Terminated,No,972.0,Phase 1|Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,12.0,3,elderly-adults
Terminated,No,418.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,146.0,2,elderly-adults
Terminated,No,275.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,6.0,2,elderly-adults
Terminated,No,426.0,Phase 2,All,Diagnostic,Parallel Assignment,Randomized,23.0,2,elderly-adults
Terminated,No,365.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,13.0,2,childTeen-infants
Terminated,No,243.0,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,90.0,1,elderly-adults
Terminated,No,2230.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,1.0,1,infants
Terminated,No,1824.0,Not Applicable,All,Diagnostic,Parallel Assignment,Randomized,18.0,1,elderly-adults
Terminated,No,1283.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,391.0,2,elderly-adults
Terminated,No,701.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,279.0,2,infants
Terminated,No,771.0,Not Applicable,All,Basic Science,Single Group Assignment,SingleArmNA,12.0,1,elderly-adults
Terminated,No,2404.0,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,220.0,2,allAges
Terminated,No,789.0,Phase 1|Phase 2,All,Treatment,Single Group Assignment,Randomized,2.0,1,elderly-adults
Terminated,No,2040.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,291.0,2,elderly-adults
Terminated,No,485.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,16.0,2,elderly-childTeen
Terminated,No,321.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,460.0,2,elderly-childTeen
Terminated,No,999.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,24.0,2,elderly-adults
Terminated,No,884.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,14.0,2,elderly-adults
Terminated,No,365.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,32.0,3,elderly-adults
Terminated,Accept,1127.0,Phase 3,Female,Prevention,Parallel Assignment,Randomized,2891.0,2,adults-childTeen
Terminated,No,214.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,4.0,3,elderly-adults
Terminated,No,744.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,38.0,2,elderly-adults
Terminated,No,137.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,12.0,3,elderly-adults
Terminated,No,518.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,12.0,2,elderly-adults
Terminated,No,3164.0,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,4.0,1,elderly-adults
Terminated,No,358.0,Phase 4,All,Prevention,Parallel Assignment,Non-Randomized,26.0,2,elderly-adults
Terminated,No,964.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,5.0,1,adults-childTeen
Terminated,No,151.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,104.0,2,elderly-childTeen
Terminated,No,304.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,20.0,1,adults-infants
Terminated,No,1357.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,145.0,2,adults-infants
Terminated,No,258.0,Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,2.0,2,elderly-adults
Terminated,No,234.0,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,40.0,1,adults
Terminated,Accept,159.0,Phase 1,All,Prevention,Sequential Assignment,Randomized,14.0,3,adults
Terminated,No,884.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,20.0,1,adults-infants
Terminated,No,275.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,105.0,1,elderly-adults
Terminated,No,2540.0,Phase 1,All,Treatment,Parallel Assignment,Non-Randomized,142.0,4,childTeen-infants
Terminated,No,1155.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,358.0,1,elderly-adults
Terminated,No,1247.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,28.0,2,elderly-adults
Terminated,Accept,579.0,Phase 1|Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,33.0,1,elderly-adults
Terminated,No,273.0,Early Phase 1,Female,Treatment,Single Group Assignment,Randomized,50.0,2,elderly-adults
